Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,12,20,7,10.83,0.0,0.0,1.0,8,8,0,0,0
Andrew Brayshaw,12,34,18,28.33,0.67,0.08,1.67,100,92,83,50,17
Bailey Banfield,11,20,2,12.09,0.91,0.73,0.55,36,9,0,64,27
Brandon Walker,9,16,8,10.89,0.0,0.0,0.56,11,0,0,0,0
Brennan Cox,12,30,8,16.92,0.08,0.0,0.25,50,33,8,8,0
Caleb Serong,12,37,24,30.33,0.17,0.5,2.08,100,100,92,17,0
Corey Wagner,2,18,12,15.0,0.0,0.0,0.0,50,0,0,0,0
Ethan Hughes,12,19,9,14.17,0.17,0.08,0.5,58,0,0,17,0
Hayden Young,12,33,14,22.67,0.08,0.08,0.75,92,67,33,8,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0
Jaeger O'Meara,11,27,17,21.09,0.45,0.09,0.91,100,45,27,27,18
James Aish,12,31,11,20.67,0.25,0.17,1.0,83,50,25,25,0
Jordan Clark,12,28,14,17.83,0.08,0.08,0.92,83,25,8,8,0
Josh Corbett,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Josh Treacy,6,14,3,8.17,1.33,0.33,0.67,0,0,0,100,33
Jye Amiss,11,14,2,8.18,2.09,0.64,0.82,0,0,0,91,64
Lachie Schultz,12,20,10,14.5,1.42,0.67,1.25,50,17,0,83,33
Liam Henry,5,21,10,14.6,0.2,0.4,0.4,40,20,0,20,0
Luke Jackson,12,24,9,15.0,1.08,1.0,1.17,42,17,0,67,33
Luke Ryan,12,37,16,23.25,0.0,0.0,0.42,100,58,33,0,0
Matt Taberner,4,11,7,9.0,0.75,0.0,0.25,0,0,0,50,25
Michael Walters,10,14,7,10.7,1.8,0.6,0.9,0,0,0,80,50
Nat Fyfe,6,20,6,13.17,0.33,0.33,0.67,50,17,0,33,0
Nathan Wilson,4,21,10,15.25,0.0,0.0,0.5,50,25,0,0,0
Neil Erasmus,3,16,4,11.67,0.0,0.0,0.67,67,0,0,0,0
Sam Sturt,5,7,5,6.4,0.6,0.6,0.2,0,0,0,40,20
Sam Switkowski,11,21,1,12.91,0.82,0.73,1.36,36,9,0,64,18
Sean Darcy,11,20,6,13.82,0.27,0.36,1.55,55,9,0,27,0
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
