Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Hall,6,30,15,23.6,0.0,0.0,0.4,100,80,60,0,0
Aidan Corr,9,18,6,12.6,0.0,0.0,0.6,40,0,0,0,0
Aiden Bonar,2,15,9,12.0,0.0,0.0,0.0,50,0,0,0,0
Bailey Scott,13,33,19,25.0,0.6,0.2,0.2,100,80,40,60,0
Ben Cunnington,8,27,7,18.6,0.2,0.0,0.4,60,60,40,20,0
Ben McKay,9,18,5,11.0,0.0,0.0,0.4,20,0,0,0,0
Blake Drury,3,13,6,8.67,0.0,0.33,0.67,0,0,0,0,0
Callum Coleman Jones,5,16,3,10.6,0.8,0.6,0.4,20,0,0,40,40
Cameron Zurhaar,12,20,10,15.0,1.4,1.4,1.6,60,20,0,60,40
Charlie Comben,7,11,1,7.2,0.6,1.2,0.6,0,0,0,40,20
Charlie Lazzaro,2,5,1,3.0,0.0,0.0,0.0,0,0,0,0,0
Curtis Taylor,9,17,11,13.0,0.4,0.4,1.2,40,0,0,40,0
Daniel Howe,8,23,9,15.0,0.2,0.2,0.4,40,20,0,20,0
Darcy Tucker,9,24,3,15.6,0.2,0.4,0.2,80,20,0,20,0
Eddie Ford,4,21,9,16.25,0.5,0.0,0.25,75,25,0,50,0
Flynn Perez,2,16,7,11.5,0.0,0.0,0.5,50,0,0,0,0
George Wardlaw,4,22,12,16.75,0.25,0.25,1.75,75,25,0,25,0
Griffin Logue,12,17,11,13.8,0.2,0.0,0.2,40,0,0,20,0
Harry Sheezel,13,25,21,22.6,0.4,0.6,0.2,100,100,20,20,20
Hugh Greenwood,9,25,10,17.0,0.0,0.0,0.4,60,40,20,0,0
Jack Mahony,2,16,9,12.5,0.0,0.0,0.0,50,0,0,0,0
Jack Ziebell,13,30,18,23.8,0.0,0.0,0.8,100,80,40,0,0
Jaidyn Stephenson,13,14,5,11.2,1.2,0.8,0.0,0,0,0,80,40
Josh Goater,3,15,9,13.0,0.0,0.33,0.67,67,0,0,0,0
Jy Simpkin,10,28,3,18.6,0.4,0.0,2.0,60,60,40,20,20
Kayne Turner,7,10,5,7.0,0.2,0.4,0.0,0,0,0,20,0
Liam Shiels,12,29,12,21.0,0.0,0.2,1.0,80,40,40,0,0
Luke Davies Uniacke,7,30,20,25.4,0.0,0.2,1.6,100,100,60,0,0
Luke McDonald,13,20,14,17.6,0.2,0.0,1.0,80,20,0,20,0
Miller Bergman,9,18,4,10.8,0.0,0.0,0.4,20,0,0,0,0
Nick Larkey,13,14,9,12.0,3.4,1.8,1.2,0,0,0,100,100
Paul Curtis,11,17,2,8.6,0.4,0.2,0.2,20,0,0,40,0
Phoenix Spicer,5,10,2,7.0,0.2,0.2,0.6,0,0,0,20,0
Tarryn Thomas,2,19,17,18.0,2.0,0.0,1.5,100,0,0,100,50
Todd Goldstein,12,24,11,16.2,0.4,0.0,1.8,60,20,0,40,0
Tom Powell,11,16,8,12.8,0.4,0.0,0.4,40,0,0,40,0
Tristan Xerri,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Will Phillips,9,29,8,19.6,0.2,0.0,0.4,80,40,40,20,0
