Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,13,14,6,10.4,1.2,1.4,0.8,0,0,0,100,20
Adam Treloar,9,35,23,29.4,0.8,0.2,1.0,100,100,60,60,20
Alex Keath,9,18,9,11.4,0.0,0.0,0.4,20,0,0,0,0
Anthony Scott,13,12,8,10.6,1.2,0.4,0.8,0,0,0,60,40
Arthur Jones,11,14,0,8.0,0.2,0.8,0.6,0,0,0,20,0
Bailey Dale,13,36,27,30.4,0.0,0.2,0.6,100,100,100,0,0
Bailey Smith,11,37,23,28.4,0.6,0.6,0.2,100,100,60,60,0
Bailey Williams,13,23,16,20.0,0.6,1.0,0.6,100,60,0,40,20
Caleb Daniel,13,35,23,28.4,0.8,0.0,0.6,100,100,80,80,0
Cody Weightman,9,14,10,12.4,1.4,0.8,1.8,0,0,0,80,40
Ed Richards,12,25,14,18.6,0.2,0.2,0.2,80,40,20,20,0
Hayden Crozier,3,22,5,12.33,0.0,0.33,1.33,33,33,0,0,0
Jack Macrae,13,33,23,27.4,0.8,0.0,1.0,100,100,80,60,20
Jamarra Ugle Hagan,13,14,9,12.0,1.4,1.8,0.6,0,0,0,80,40
Jason Johannisen,9,26,12,20.4,0.6,0.2,0.0,80,60,20,60,0
Josh Bruce,6,17,8,12.0,0.0,0.0,0.8,20,0,0,0,0
Lachlan McNeil,7,7,0,4.4,0.0,0.2,0.0,0,0,0,0,0
Laitham Vandermeer,1,15,15,15.0,0.0,1.0,0.0,100,0,0,0,0
Liam Jones,13,14,3,8.2,0.0,0.0,0.2,0,0,0,0,0
Marcus Bontempelli,13,31,23,27.2,0.4,0.6,1.4,100,100,80,40,0
Mitch Hannan,4,8,3,5.5,0.5,0.5,0.75,0,0,0,50,0
Oskar Baker,13,22,4,15.2,0.0,0.6,0.4,80,40,0,0,0
Rhylee West,2,9,4,6.5,0.5,0.0,0.5,0,0,0,50,0
Riley Garcia,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0
Robbie McComb,3,8,2,4.33,0.33,0.0,0.33,0,0,0,33,0
Rory Lobb,12,14,6,9.8,0.8,0.6,1.2,0,0,0,60,20
Ryan Gardner,5,16,4,10.6,0.2,0.0,1.0,20,0,0,20,0
Sam Darcy,2,6,2,4.0,0.0,0.5,0.0,0,0,0,0,0
Taylor Duryea,11,16,13,13.8,0.0,0.2,1.4,20,0,0,0,0
Tom Liberatore,12,33,17,27.8,0.2,0.8,1.0,100,80,80,20,0
Tim English,13,27,16,19.6,0.2,0.4,2.0,100,40,20,20,0
