Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,11,18,8,12.91,1.09,0.45,0.91,45,0,0,64,27
Brandan Parfitt,5,14,5,10.8,0.2,0.0,0.8,0,0,0,20,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,11,14,5,10.18,0.0,0.0,0.73,0,0,0,0,0
Gary Rohan,7,11,5,7.71,1.43,0.57,0.57,0,0,0,100,43
Gryan Miers,12,25,10,18.42,0.17,0.75,0.75,83,42,8,17,0
Isaac Smith,12,27,18,21.92,0.5,0.58,0.42,100,75,8,42,8
Jack Bowes,6,22,3,15.17,0.33,0.5,0.5,50,33,0,33,0
Jack Henry,3,11,8,9.67,1.0,0.0,0.0,0,0,0,67,33
Jake Kolodjashnij,9,17,7,12.67,0.0,0.22,0.56,44,0,0,0,0
Jed Bews,10,14,2,10.5,0.0,0.1,0.1,0,0,0,0,0
Jeremy Cameron,12,25,10,18.08,3.17,1.5,1.08,92,42,8,92,83
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.67,0.0,0.0,1.0,17,0,0,0,0
Mark Blicavs,12,22,9,16.08,0.67,0.42,1.33,83,8,0,58,8
Max Holmes,10,26,13,19.4,0.5,0.1,1.0,90,50,10,50,0
Mitch Duncan,6,31,14,20.33,0.17,0.17,0.67,83,50,33,17,0
Mitchell Knevitt,7,17,3,12.43,0.29,0.29,0.57,57,0,0,29,0
Oisin Mullin,2,15,10,12.5,0.0,0.5,0.5,50,0,0,0,0
Oliver Henry,11,17,7,11.45,1.64,1.0,1.0,27,0,0,91,73
Oliver Dempsey,3,11,3,6.67,0.0,1.0,0.33,0,0,0,0,0
Patrick Dangerfield,8,31,16,23.5,0.5,0.5,1.5,100,75,38,50,0
Rhys Stanley,4,16,9,12.75,0.0,0.0,1.75,50,0,0,0,0
Sam De Koning,8,14,7,10.5,0.0,0.0,0.25,0,0,0,0,0
Sam Simpson,6,14,2,9.17,1.17,0.5,0.33,0,0,0,67,50
Tanner Bruhn,9,19,10,14.67,0.67,0.0,0.67,56,0,0,56,11
Tom Stewart,11,31,3,22.55,0.09,0.0,0.73,91,82,36,9,0
Tom Atkins,12,24,12,17.42,0.17,0.08,1.42,75,33,0,17,0
Tom Hawkins,12,16,5,11.17,2.67,1.17,0.5,17,0,0,92,67
Tyson Stengle,8,17,6,11.62,1.25,0.25,0.38,25,0,0,75,50
Zach Guthrie,12,19,11,14.42,0.0,0.0,0.67,42,0,0,0,0
Zach Tuohy,11,21,11,16.45,0.45,0.27,0.55,73,18,0,36,9
