Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,13,15,7,11.6,0.0,0.0,0.6,20,0,0,0,0
Brynn Teakle,4,14,7,10.25,0.25,0.5,1.25,0,0,0,25,0
Charlie Dixon,8,15,9,12.2,1.6,0.6,0.6,40,0,0,60,60
Connor Rozee,13,31,23,27.0,0.6,0.8,1.0,100,100,80,60,0
Dan Houston,13,33,17,23.0,0.6,0.2,0.6,100,80,40,40,20
Darcy Byrne Jones,12,14,7,11.8,0.8,1.2,0.6,0,0,0,60,20
Dylan Williams,10,22,13,17.2,0.0,0.2,0.4,80,20,0,0,0
Francis Evans,5,14,2,5.4,0.4,0.2,0.2,0,0,0,20,20
Jackson Mead,5,10,4,8.0,0.4,0.2,0.2,0,0,0,40,0
Jase Burgoyne,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
Jason Horne Francis,13,23,13,18.4,1.2,0.4,2.2,80,40,0,100,20
Jed McEntee,10,13,8,10.0,1.2,0.2,0.4,0,0,0,80,40
Jeremy Finlayson,11,20,8,14.2,2.6,2.2,0.4,60,20,0,100,80
Josh Sinn,2,7,4,5.5,0.0,0.0,0.0,0,0,0,0,0
Kane Farrell,11,23,9,15.6,0.0,0.0,0.6,60,20,0,0,0
Lachie Jones,6,19,5,11.0,0.2,0.0,0.8,20,0,0,20,0
Miles Bergman,13,21,9,14.0,0.0,0.6,1.0,40,20,0,0,0
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,13,26,18,22.2,0.6,0.2,1.2,100,80,20,60,0
Ollie Lord,6,10,5,8.2,0.8,0.8,0.8,0,0,0,60,20
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0
Riley Bonner,8,16,2,12.2,0.4,0.6,0.2,40,0,0,20,20
Ryan Burton,10,20,7,11.8,0.8,0.4,0.4,20,20,0,80,0
Sam Powell Pepper,13,18,10,13.8,1.0,1.2,1.2,40,0,0,60,40
Scott Lycett,9,18,2,11.4,0.0,0.0,2.8,20,0,0,0,0
Tom Jonas,8,10,2,7.0,0.2,0.0,0.6,0,0,0,20,0
Todd Marshall,10,16,0,8.2,1.6,0.8,0.4,20,0,0,60,40
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,10,30,12,20.2,0.6,0.4,0.6,60,60,40,60,0
Trent McKenzie,11,13,7,10.2,0.0,0.0,0.6,0,0,0,0,0
Willem Drew,13,22,10,16.0,0.4,0.4,0.8,60,20,0,40,0
Willie Rioli,11,14,7,10.4,1.6,1.2,0.4,0,0,0,60,60
Xavier Duursma,7,22,5,13.0,0.6,0.0,1.6,40,20,0,60,0
Zak Butters,13,41,26,32.4,1.0,0.6,1.8,100,100,100,80,20
