Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,9,10,5,7.4,1.2,0.4,0.6,0,0,0,80,40
Ben Paton,11,19,7,14.2,0.0,0.0,1.0,60,0,0,0,0
Brad Crouch,12,33,19,26.2,0.2,0.0,0.8,100,80,60,20,0
Bradley Hill,12,26,13,19.4,0.0,0.2,0.6,80,40,20,0,0
Callum Wilkie,12,28,15,21.8,0.0,0.0,1.2,100,80,20,0,0
Cooper Sharman,4,18,5,9.25,0.75,0.5,0.25,25,0,0,75,0
Dan Butler,12,14,10,11.0,1.8,1.4,1.2,0,0,0,100,80
Dougal Howard,12,16,8,12.2,0.0,0.0,0.4,40,0,0,0,0
Hunter Clark,11,25,1,17.8,0.2,0.2,1.0,80,60,20,20,0
Jack Bytel,5,15,3,7.0,0.2,0.2,0.4,20,0,0,20,0
Jack Higgins,12,18,11,14.0,1.8,0.6,1.2,40,0,0,80,60
Jack Sinclair,12,37,18,26.6,0.6,0.0,0.6,100,80,40,40,20
Jack Steele,9,25,14,20.8,0.0,0.0,1.2,80,80,20,0,0
Jade Gresham,11,21,10,16.2,0.8,1.2,0.6,80,20,0,40,40
Jimmy Webster,5,19,14,15.8,0.0,0.0,0.6,60,0,0,0,0
Josh Battle,12,18,10,13.6,0.0,0.0,0.6,40,0,0,0,0
Marcus Windhager,7,15,4,10.0,0.2,0.6,0.4,20,0,0,20,0
Mason Wood,12,21,16,18.0,0.8,0.0,1.2,100,20,0,60,20
Mattaes Phillipou,12,18,10,13.0,0.4,0.6,0.6,20,0,0,40,0
Mitch Owens,11,21,7,14.4,1.0,0.8,2.8,60,20,0,60,40
Nasiah Wanganeen Milera,12,30,16,25.6,0.2,0.2,0.0,100,80,80,20,0
Rowan Marshall,12,24,10,17.6,0.0,0.4,2.0,80,40,0,0,0
Ryan Byrnes,12,24,13,18.2,0.4,0.2,1.0,80,20,0,40,0
Sebastian Ross,11,19,12,14.6,0.0,0.0,0.4,40,0,0,0,0
Tim Membrey,4,12,9,11.0,0.75,1.25,0.25,0,0,0,75,0
Zaine Cordy,7,9,1,4.8,0.6,0.0,0.0,0,0,0,60,0
