Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,6,25,15,21.33,0.5,0.33,0.67,100,83,17,50,0
Adam Saad,8,25,6,17.62,0.0,0.12,0.62,88,38,12,0,0
Alex Cincotta,6,13,4,9.0,0.5,0.0,0.0,0,0,0,33,17
Blake Acres,13,32,16,23.2,0.5,0.4,0.6,100,80,40,40,10
Brodie Kemp,11,21,10,15.7,0.1,0.1,0.6,50,10,0,10,0
Caleb Marchbank,2,11,8,9.5,0.0,0.0,1.0,0,0,0,0,0
Charlie Curnow,13,16,9,12.6,2.8,2.1,0.9,10,0,0,100,100
Corey Durdin,10,11,2,5.9,0.6,0.4,0.2,0,0,0,40,20
David Cuningham,3,14,12,12.67,0.33,0.67,0.67,0,0,0,33,0
Elijah Hollands,11,22,8,15.6,0.9,0.3,0.4,60,10,0,50,30
George Hewett,13,31,8,21.4,0.4,0.0,0.6,90,70,20,40,0
Harry McKay,13,19,8,13.5,1.8,1.2,1.1,30,0,0,90,50
Jack Carroll,11,20,1,9.3,0.2,0.2,0.2,30,20,0,20,0
Jack Martin,1,6,6,6.0,1.0,0.0,1.0,0,0,0,100,0
Jacob Weitering,11,21,5,13.8,0.0,0.1,0.6,50,10,0,0,0
Jaxon Binns,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jordan Boyd,13,19,12,15.3,0.1,0.1,0.8,60,0,0,10,0
Lachlan Cowan,7,19,4,11.71,0.0,0.14,0.14,29,0,0,0,0
Lachie Fogarty,7,17,10,13.14,0.29,0.29,0.57,29,0,0,29,0
Lewis Young,5,17,7,12.8,0.0,0.0,0.8,40,0,0,0,0
Marc Pittonet,6,20,8,15.5,0.33,0.33,2.0,67,17,0,33,0
Matthew Cottrell,9,16,8,11.33,0.89,0.33,0.56,11,0,0,78,11
Matthew Owies,13,11,3,8.3,1.2,0.4,0.4,0,0,0,80,20
Matthew Kennedy,13,27,4,17.8,0.6,0.1,0.9,70,50,10,50,10
Mitch McGovern,10,26,9,16.8,0.3,0.1,1.3,80,20,10,30,0
Nic Newman,13,32,17,23.9,0.0,0.1,0.6,100,80,40,0,0
Oliver Hollands,12,21,7,13.3,0.1,0.2,0.6,30,10,0,10,0
Orazio Fantasia,10,11,5,7.9,0.2,0.6,0.6,0,0,0,20,0
Patrick Cripps,13,39,19,26.3,0.8,0.2,1.9,100,90,40,60,20
Sam Docherty,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Walsh,9,35,20,30.56,0.22,0.56,1.0,100,100,78,22,0
Tom De Koning,13,25,6,15.9,0.7,0.7,0.9,60,20,10,40,20
Zac Williams,12,23,9,14.3,1.0,0.3,0.5,50,10,0,40,30
