Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,13,15,9,12.67,1.0,0.67,0.67,33,0,0,100,0
Brandan Parfitt,8,20,13,16.67,0.0,0.33,0.33,67,33,0,0,0
Cameron Guthrie,4,16,9,13.33,0.0,0.0,0.33,67,0,0,0,0
Connor O'Sullivan,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
Gary Rohan,5,12,3,6.33,0.33,0.0,0.0,0,0,0,33,0
Gryan Miers,13,16,12,14.67,0.33,0.33,0.0,67,0,0,33,0
Jack Bowes,10,29,5,16.0,1.0,1.0,1.0,33,33,33,67,33
Jack Henry,13,13,11,12.0,0.0,0.0,0.67,0,0,0,0,0
Jake Kolodjashnij,12,19,15,16.67,0.33,0.0,0.33,100,0,0,33,0
Jed Bews,15,15,6,10.33,0.0,0.0,0.33,33,0,0,0,0
Jeremy Cameron,12,21,16,18.0,1.33,0.33,0.67,100,33,0,100,33
Jhye Clark,11,16,5,12.0,0.33,0.0,0.33,67,0,0,33,0
Mark Blicavs,12,22,9,13.33,0.0,0.33,1.0,33,33,0,0,0
Mark O'Connor,11,16,12,14.33,0.0,0.0,1.0,67,0,0,0,0
Max Holmes,13,32,23,28.0,1.0,0.67,0.67,100,100,67,100,0
Mitch Duncan,11,27,19,22.67,0.33,0.67,0.67,100,67,33,33,0
Mitchell Knevitt,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Oisin Mullin,7,15,8,11.67,0.0,0.0,0.67,33,0,0,0,0
Oliver Henry,12,8,2,5.67,0.67,0.0,0.33,0,0,0,33,33
Oliver Dempsey,13,27,10,17.0,1.0,0.0,0.67,33,33,33,33,33
Patrick Dangerfield,4,23,16,19.67,0.33,0.33,0.33,100,67,0,33,0
Rhys Stanley,8,8,3,5.67,0.0,0.0,1.0,0,0,0,0,0
Sam De Koning,12,17,10,13.0,0.0,0.0,0.33,33,0,0,0,0
Shannon Neale,5,12,3,7.67,1.33,0.0,0.67,0,0,0,100,33
Shaun Mannagh,2,13,5,9.0,0.5,1.0,0.0,0,0,0,50,0
Tanner Bruhn,11,26,13,20.0,0.67,0.33,1.0,67,67,33,67,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,12,20,18,19.33,0.0,0.0,0.33,100,67,0,0,0
Toby Conway,5,21,13,16.0,0.0,0.0,2.33,33,33,0,0,0
Tom Atkins,12,27,20,22.33,0.0,0.0,1.67,100,100,33,0,0
Tom Hawkins,11,12,10,11.33,1.67,1.0,0.0,0,0,0,100,67
Tyson Stengle,13,18,12,15.33,2.0,1.33,1.67,67,0,0,100,67
Zach Guthrie,13,19,13,16.67,0.33,0.0,0.33,67,0,0,33,0
Zach Tuohy,9,24,9,15.33,0.67,0.33,0.33,33,33,0,67,0
