Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,13,18,7,13.0,1.23,0.38,0.77,31,0,0,92,15
Brandan Parfitt,8,21,13,18.38,0.12,0.12,0.38,88,50,0,12,0
Cameron Guthrie,4,27,9,16.75,0.0,0.0,1.0,75,25,25,0,0
Connor O'Sullivan,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
Gary Rohan,5,12,3,6.0,0.6,0.0,0.0,0,0,0,40,20
Gryan Miers,13,29,12,20.77,0.85,0.31,0.54,92,77,15,54,23
Jack Bowes,10,29,5,17.8,0.7,0.7,0.5,60,60,10,50,20
Jack Henry,13,15,7,10.54,0.0,0.0,0.46,8,0,0,0,0
Jake Kolodjashnij,12,19,7,14.5,0.08,0.08,0.42,67,0,0,8,0
Jed Bews,15,15,2,10.47,0.0,0.07,0.2,13,0,0,0,0
Jeremy Cameron,12,27,9,17.83,2.0,1.25,0.5,92,33,8,83,58
Jhye Clark,11,16,1,11.0,0.18,0.09,0.55,27,0,0,18,0
Mark Blicavs,12,22,9,14.08,0.17,0.17,0.42,42,17,0,17,0
Mark O'Connor,11,17,5,12.73,0.18,0.27,0.82,55,0,0,18,0
Max Holmes,13,32,20,25.62,0.69,0.31,0.46,100,100,46,62,8
Mitch Duncan,11,27,14,21.36,0.18,0.55,0.27,91,64,18,18,0
Mitchell Knevitt,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Oisin Mullin,7,15,7,11.43,0.0,0.0,0.71,29,0,0,0,0
Oliver Henry,12,11,2,8.17,1.75,0.58,0.83,0,0,0,83,58
Oliver Dempsey,13,27,10,16.46,0.77,0.46,0.92,46,23,15,46,15
Patrick Dangerfield,4,25,16,21.0,0.5,0.5,0.75,100,75,25,50,0
Rhys Stanley,8,13,3,8.25,0.0,0.12,1.25,0,0,0,0,0
Sam De Koning,12,18,5,12.75,0.0,0.0,0.67,33,0,0,0,0
Shannon Neale,5,12,3,8.2,1.8,0.4,0.4,0,0,0,100,60
Shaun Mannagh,2,13,5,9.0,0.5,1.0,0.0,0,0,0,50,0
Tanner Bruhn,11,27,9,18.45,0.27,0.36,1.36,73,45,18,27,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,12,28,10,20.5,0.0,0.08,0.5,92,75,8,0,0
Toby Conway,5,21,9,13.6,0.2,0.0,1.4,20,20,0,20,0
Tom Atkins,12,27,6,17.33,0.0,0.17,1.42,75,42,8,0,0
Tom Hawkins,11,12,6,9.64,1.36,0.73,0.18,0,0,0,64,36
Tyson Stengle,13,18,7,13.92,2.08,0.77,0.62,38,0,0,92,69
Zach Guthrie,13,24,12,18.0,0.31,0.08,0.46,77,31,0,31,0
Zach Tuohy,9,24,9,15.56,0.67,0.44,0.44,56,11,0,44,11
