Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,13,29,25,27.33,1.33,1.33,1.33,100,100,100,100,33
Brodie Smith,12,26,14,19.33,0.0,0.0,0.0,67,33,33,0,0
Chayce Jones,11,21,17,18.33,0.0,0.0,0.33,100,33,0,0,0
Darcy Fogarty,11,16,10,13.67,2.0,1.0,1.0,67,0,0,100,67
Harry Schoenberg,4,13,5,7.67,0.0,0.0,0.0,0,0,0,0,0
Izak Rankine,13,23,13,18.67,1.67,2.33,0.33,67,67,0,67,67
Jake Soligo,13,18,9,14.0,0.67,0.33,1.0,67,0,0,67,0
Jordan Dawson,13,32,30,31.33,0.33,0.33,1.33,100,100,100,33,0
Jordon Butts,12,18,6,10.0,0.0,0.0,0.33,33,0,0,0,0
Josh Rachele,13,15,12,14.0,1.0,0.67,1.33,67,0,0,100,0
Josh Worrell,2,19,18,18.5,0.0,0.0,1.0,100,0,0,0,0
Lachlan Gollant,3,9,7,8.0,1.0,1.33,2.0,0,0,0,67,33
Lachlan Murphy,12,16,15,15.67,1.0,0.67,2.0,100,0,0,67,33
Lachlan Sholl,12,20,15,17.33,0.67,0.33,0.0,100,33,0,33,33
Luke Pedlar,12,16,9,11.67,1.33,0.67,3.0,33,0,0,100,33
Matt Crouch,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Max Michalanney,13,11,9,10.0,0.0,0.0,0.67,0,0,0,0,0
Mitchell Hinge,12,18,1,11.67,0.0,0.33,0.33,67,0,0,0,0
Nick Murray,12,11,7,9.0,0.0,0.0,0.0,0,0,0,0,0
Patrick Parnell,4,25,0,13.67,0.0,0.0,0.67,67,33,33,0,0
Riley Thilthorpe,11,15,11,12.33,1.33,0.33,2.0,33,0,0,67,67
Rory Laird,13,34,22,27.67,0.0,0.0,1.0,100,100,67,0,0
Rory Sloane,13,19,14,16.67,0.67,0.0,2.33,67,0,0,33,33
Sam Berry,4,12,5,9.33,0.0,0.0,1.0,0,0,0,0,0
Shane McAdam,1,7,7,7.0,1.0,1.0,0.0,0,0,0,100,0
Taylor Walker,12,21,7,12.33,5.0,0.67,0.33,33,33,0,100,100
Tom Doedee,11,17,1,9.0,0.0,0.0,0.0,33,0,0,0,0
Wayne Milera,12,22,20,21.0,0.33,0.0,1.33,100,100,0,33,0
