Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,11,15,3,8.27,1.27,0.82,0.64,9,0,0,91,27
Beau McCreery,13,20,2,10.54,0.85,0.23,0.23,15,8,0,54,31
Billy Frampton,9,15,8,10.44,0.33,0.22,0.22,11,0,0,33,0
Brayden Maynard,13,25,9,17.46,0.0,0.15,0.62,69,38,15,0,0
Brody Mihocek,13,17,6,10.15,2.46,0.85,0.46,15,0,0,92,77
Daniel McStay,5,16,1,8.6,0.6,0.6,0.8,20,0,0,60,0
Darcy Cameron,7,23,9,14.29,0.0,0.57,2.0,43,14,0,0,0
Darcy Moore,13,25,7,16.31,0.0,0.08,0.92,62,23,8,0,0
Harvey Harrison,2,12,8,10.0,1.0,0.5,0.5,0,0,0,100,0
Isaac Quaynor,13,22,8,15.38,0.0,0.08,0.77,62,15,0,0,0
Jack Crisp,13,28,15,20.46,0.31,0.23,0.69,100,62,23,31,0
Jack Ginnivan,8,15,1,9.12,1.0,0.62,0.25,12,0,0,62,38
Jamie Elliott,11,17,9,12.36,0.91,1.09,0.73,18,0,0,55,27
Jeremy Howe,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
John Noble,13,29,16,21.23,0.08,0.08,1.54,100,62,15,8,0
Jordan De Goey,11,35,12,24.91,0.91,0.73,1.0,91,73,55,64,18
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Josh Daicos,13,31,17,25.15,0.69,0.31,0.77,100,85,62,46,15
Mason Cox,8,19,5,10.0,1.38,0.75,2.12,12,0,0,88,50
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Nathan Murphy,12,14,6,10.17,0.0,0.0,1.42,0,0,0,0,0
Nick Daicos,13,42,25,33.0,0.85,0.38,1.08,100,100,100,46,31
Patrick Lipinski,1,15,15,15.0,2.0,0.0,1.0,100,0,0,100,100
Reef McInnes,5,7,1,3.6,0.6,0.2,0.2,0,0,0,40,20
Scott Pendlebury,12,31,14,23.08,0.25,0.08,1.0,92,92,33,25,0
Steele Sidebottom,11,30,4,20.91,0.18,0.18,0.27,82,73,18,18,0
Taylor Adams,12,27,12,18.83,0.5,0.5,1.5,92,50,8,42,8
Tom Mitchell,13,36,20,27.0,0.38,0.0,2.0,100,100,69,31,8
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Will Hoskin Elliott,13,19,4,12.46,0.62,0.23,0.54,38,0,0,46,15
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
