Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,8,10,1,6.38,0.62,0.0,0.38,0,0,0,62,0
Andrew McGrath,13,31,16,21.4,0.0,0.0,0.9,100,60,10,0,0
Archie Perkins,10,24,12,18.9,0.5,0.3,1.1,90,60,0,40,10
Ben Hobbs,9,21,4,13.67,0.11,0.11,0.89,44,11,0,11,0
Ben McKay,13,18,6,11.9,0.0,0.0,0.9,30,0,0,0,0
Darcy Parish,7,36,16,24.14,0.29,0.43,0.29,100,86,43,29,0
Dylan Shiel,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Dyson Heppell,13,27,12,19.8,0.0,0.0,0.7,70,40,40,0,0
Elijah Tsatas,7,16,3,10.14,0.14,0.14,0.0,29,0,0,14,0
Harrison Jones,11,13,5,9.5,1.1,0.7,0.5,0,0,0,80,30
Jade Gresham,13,26,10,15.8,0.7,0.5,0.7,70,20,10,50,10
Jake Kelly,12,21,9,15.4,0.1,0.0,0.3,70,20,0,10,0
Jake Stringer,13,19,9,12.5,1.4,1.3,0.9,20,0,0,90,30
Jayden Laverde,12,21,10,15.0,0.0,0.0,0.9,50,10,0,0,0
Jordan Ridley,3,31,22,25.0,0.33,0.0,0.67,100,100,33,33,0
Jye Caldwell,13,26,15,22.0,0.2,0.5,1.0,100,80,20,20,0
Jye Menzie,7,20,4,9.71,0.29,0.57,0.29,29,14,0,29,0
Kaine Baldwin,4,14,0,8.75,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,13,16,4,11.4,2.0,1.5,1.1,10,0,0,70,60
Mason Redman,11,26,15,21.3,0.1,0.2,0.6,100,80,20,10,0
Matt Guelfi,7,16,9,12.29,1.57,1.14,1.43,29,0,0,71,57
Nate Caddy,1,10,10,10.0,0.0,2.0,3.0,0,0,0,0,0
Nic Martin,13,35,24,28.7,0.5,0.7,0.4,100,100,90,40,10
Nick Bryan,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
Nick Hind,11,25,5,13.0,0.4,0.4,0.8,40,30,10,30,10
Nik Cox,12,18,5,13.7,0.4,0.1,0.5,50,0,0,20,10
Peter Wright,9,19,8,11.44,1.44,0.56,1.11,22,0,0,67,56
Sam Draper,6,12,5,9.17,0.33,0.67,1.0,0,0,0,33,0
Sam Durham,12,25,11,20.9,0.4,0.2,1.1,80,80,30,40,0
Sam Weideman,16,14,4,8.4,0.4,1.0,0.5,0,0,0,20,20
Todd Goldstein,12,19,7,10.9,0.1,0.1,2.0,10,0,0,10,0
Will Setterfield,4,29,19,22.75,0.0,0.5,1.0,100,50,25,0,0
Xavier Duursma,8,26,12,18.88,0.5,0.0,0.88,75,62,12,38,12
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,13,36,21,28.1,0.6,0.8,1.4,100,100,70,40,10
