Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey,8,9,3,6.67,0.33,0.33,0.0,0,0,0,33,0
Andrew McGrath,13,26,19,22.0,0.0,0.0,0.0,100,67,33,0,0
Anthony McDonald Tipungwuti,6,9,6,7.67,0.33,1.0,0.0,0,0,0,33,0
Archie Perkins,13,18,15,17.0,1.0,0.33,1.0,100,0,0,67,33
Ben Hobbs,8,24,17,20.67,0.67,0.33,2.0,100,67,0,33,33
Brandon Zerk Thatcher,12,12,10,11.33,0.0,0.0,0.67,0,0,0,0,0
Darcy Parish,8,38,27,34.0,0.0,0.0,1.67,100,100,100,0,0
Dylan Shiel,10,19,10,15.67,0.0,0.0,0.67,67,0,0,0,0
Dyson Heppell,12,24,20,22.33,0.0,0.0,1.67,100,100,0,0,0
Jake Kelly,8,14,11,12.0,0.0,0.0,0.33,0,0,0,0,0
Jake Stringer,11,18,17,17.67,0.67,1.33,0.67,100,0,0,67,0
Jayden Laverde,9,15,11,12.67,0.0,0.0,1.33,33,0,0,0,0
Jordan Ridley,12,28,20,23.0,0.0,0.33,0.67,100,100,33,0,0
Jye Caldwell,13,27,20,24.0,0.33,0.0,1.33,100,100,67,33,0
Jye Menzie,12,12,9,10.33,1.67,0.33,0.67,0,0,0,100,67
Kaine Baldwin,2,14,13,13.5,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,13,15,11,13.33,2.67,1.0,1.0,33,0,0,100,67
Mason Redman,13,31,19,24.33,0.33,0.0,0.33,100,67,33,33,0
Matt Guelfi,4,14,12,13.33,1.33,0.33,1.67,0,0,0,100,33
Nic Martin,13,31,21,27.33,0.67,0.33,1.67,100,100,67,33,33
Nick Bryan,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Nick Hind,9,21,18,20.0,0.0,0.0,0.33,100,67,0,0,0
Peter Wright,1,8,8,8.0,5.0,0.0,1.0,0,0,0,100,100
Sam Draper,13,13,7,10.33,0.67,0.67,1.0,0,0,0,67,0
Sam Durham,12,17,10,14.0,0.0,0.0,0.33,67,0,0,0,0
Sam Weideman,11,14,4,9.33,0.0,1.33,0.0,0,0,0,0,0
Will Setterfield,9,23,16,19.33,0.0,0.33,0.33,100,33,0,0,0
Will Snelling,7,14,12,13.33,1.0,0.0,1.33,0,0,0,67,33
Zach Merrett,12,34,18,28.0,1.0,0.33,1.67,100,67,67,67,33
