Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,13,11,5,8.67,0.0,0.0,0.33,0,0,0,0,0
Andrew Brayshaw,13,29,29,29.0,0.33,0.67,1.67,100,100,100,33,0
Bailey Banfield,12,14,2,7.67,0.67,0.0,0.33,0,0,0,33,33
Brandon Walker,10,15,8,10.67,0.0,0.0,0.33,33,0,0,0,0
Brennan Cox,13,20,13,17.33,0.0,0.0,0.0,67,33,0,0,0
Caleb Serong,13,32,26,29.67,0.67,0.67,1.0,100,100,100,67,0
Corey Wagner,2,18,12,15.0,0.0,0.0,0.0,50,0,0,0,0
Ethan Hughes,13,17,12,13.67,0.0,0.33,0.33,33,0,0,0,0
Hayden Young,13,27,20,22.67,0.0,0.0,0.0,100,100,33,0,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0
Jaeger O'Meara,12,26,15,21.67,0.0,0.0,1.33,100,67,33,0,0
James Aish,12,26,22,24.0,0.67,0.0,1.0,100,100,33,67,0
Jordan Clark,13,22,14,16.67,0.0,0.0,0.67,33,33,0,0,0
Josh Corbett,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Josh Treacy,7,13,6,9.33,1.0,0.33,0.0,0,0,0,67,33
Jye Amiss,12,14,5,9.33,2.33,0.0,1.0,0,0,0,67,67
Lachie Schultz,13,17,10,14.67,0.33,0.67,1.0,67,0,0,33,0
Liam Henry,6,17,10,13.33,0.33,0.0,0.33,33,0,0,33,0
Luke Jackson,13,23,17,19.67,0.33,1.0,1.33,100,33,0,33,0
Luke Ryan,13,22,16,20.0,0.0,0.0,0.67,100,67,0,0,0
Matt Taberner,4,11,7,9.0,0.67,0.0,0.0,0,0,0,33,33
Michael Walters,11,12,3,7.67,2.0,0.0,0.67,0,0,0,100,67
Nat Fyfe,7,20,15,17.33,0.67,0.0,0.33,100,33,0,67,0
Nathan Wilson,4,18,10,13.33,0.0,0.0,0.67,33,0,0,0,0
Neil Erasmus,4,16,10,13.67,0.0,0.0,0.67,67,0,0,0,0
Sam Sturt,6,9,5,7.0,1.0,0.67,0.67,0,0,0,67,33
Sam Switkowski,12,18,11,14.67,0.0,1.0,1.33,67,0,0,0,0
Sean Darcy,11,18,6,10.67,0.33,0.0,1.0,33,0,0,33,0
Will Brodie,5,26,16,22.0,0.0,0.0,0.67,100,67,33,0,0
