Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,13,6,4,5.0,0.8,0.4,0.4,0,0,0,60,20
Brent Daniels,12,27,16,19.4,0.6,0.8,0.6,100,20,20,60,0
Callan Ward,8,23,12,18.8,0.0,0.0,1.2,80,40,0,0,0
Callum M. Brown,10,10,2,6.6,1.4,0.2,0.2,0,0,0,60,60
Connor Idun,13,21,16,18.6,0.0,0.0,0.4,100,40,0,0,0
Conor Stone,2,5,3,4.0,0.5,0.0,1.0,0,0,0,50,0
Darcy Jones,4,15,3,9.5,1.0,0.5,0.0,25,0,0,75,25
Finn Callaghan,12,28,13,21.0,0.0,0.6,0.8,80,60,40,0,0
Harry Himmelberg,13,30,11,20.6,0.0,0.0,0.4,80,60,20,0,0
Harry Perryman,10,23,15,19.0,0.4,0.0,0.4,100,40,0,20,20
Harvey Thomas,13,15,4,10.8,0.2,0.2,0.2,40,0,0,20,0
Jack Buckley,11,15,9,13.2,0.0,0.0,1.0,20,0,0,0,0
Jacob Wehr,11,15,10,12.4,0.0,0.0,1.2,20,0,0,0,0
Jake Riccardi,13,19,6,12.0,1.2,0.6,0.6,20,0,0,60,20
James Peatling,8,24,7,17.6,0.6,0.2,2.0,80,40,0,60,0
Jesse Hogan,13,15,6,12.0,1.8,1.2,1.0,20,0,0,100,60
Josh Kelly,10,27,21,24.0,1.2,0.4,0.4,100,100,40,80,20
Kieren Briggs,13,23,11,17.4,0.0,0.8,1.8,80,40,0,0,0
Lachie Whitfield,13,31,18,26.8,0.0,0.0,1.4,100,80,80,0,0
Lachie Ash,9,26,18,21.4,0.0,0.2,0.4,100,60,20,0,0
Leek Aleer,5,15,5,10.4,0.0,0.0,1.2,20,0,0,0,0
Nick Haynes,7,25,14,18.8,0.0,0.2,0.6,80,40,20,0,0
Ryan Angwin,3,19,10,15.33,0.33,0.67,1.0,67,0,0,33,0
Sam Taylor,11,16,7,12.6,0.0,0.0,0.6,40,0,0,0,0
Stephen Coniglio,8,27,12,21.0,0.6,0.4,0.8,80,80,20,40,20
Toby Bedford,13,19,3,12.4,0.4,0.4,0.8,40,0,0,40,0
Toby Greene,12,24,11,16.8,1.8,1.6,0.6,60,20,0,100,60
Toby McMullin,4,11,2,6.75,0.0,0.25,0.25,0,0,0,0,0
Tom Green,13,34,26,29.4,0.0,0.2,0.6,100,100,100,0,0
Xavier O'Halloran,11,15,10,12.6,1.2,0.6,0.8,20,0,0,60,20
