Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,12,18,9,13.3,1.2,0.3,0.9,50,0,0,70,30
Brandan Parfitt,5,14,5,10.8,0.2,0.0,0.8,0,0,0,20,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,11,14,5,10.6,0.0,0.0,0.8,0,0,0,0,0
Gary Rohan,8,12,5,8.25,1.62,0.5,0.5,0,0,0,100,50
Gryan Miers,13,25,10,18.1,0.2,0.5,0.7,70,50,10,20,0
Isaac Smith,13,27,18,21.6,0.6,0.7,0.4,100,70,10,50,10
Jack Bowes,7,22,3,13.71,0.29,0.43,0.43,43,29,0,29,0
Jack Henry,4,11,8,9.75,0.75,0.0,0.25,0,0,0,50,25
Jake Kolodjashnij,10,17,7,12.4,0.0,0.2,0.5,40,0,0,0,0
Jed Bews,11,14,2,10.0,0.0,0.1,0.1,0,0,0,0,0
Jeremy Cameron,13,22,10,17.1,2.8,1.4,1.2,80,40,0,90,70
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.67,0.0,0.0,1.0,17,0,0,0,0
Mark Blicavs,13,22,9,15.8,0.7,0.3,1.5,80,10,0,60,10
Max Holmes,11,26,13,20.1,0.4,0.1,1.4,90,60,10,40,0
Mitch Duncan,7,31,14,20.29,0.14,0.14,0.57,86,57,29,14,0
Mitchell Knevitt,7,17,3,12.43,0.29,0.29,0.57,57,0,0,29,0
Oisin Mullin,2,15,10,12.5,0.0,0.5,0.5,50,0,0,0,0
Oliver Henry,12,17,7,11.2,1.5,1.1,0.7,20,0,0,90,60
Oliver Dempsey,3,11,3,6.67,0.0,1.0,0.33,0,0,0,0,0
Patrick Dangerfield,9,31,15,22.56,0.56,0.44,1.56,100,67,33,56,0
Rhys Stanley,4,16,9,12.75,0.0,0.0,1.75,50,0,0,0,0
Sam De Koning,9,14,7,10.33,0.0,0.0,0.22,0,0,0,0,0
Sam Simpson,6,14,2,9.17,1.17,0.5,0.33,0,0,0,67,50
Tanner Bruhn,10,19,10,14.4,0.6,0.0,0.7,50,0,0,50,10
Tom Stewart,12,31,17,23.4,0.1,0.0,1.0,100,80,30,10,0
Tom Atkins,13,24,12,16.6,0.1,0.0,1.2,70,20,0,10,0
Tom Hawkins,13,16,8,12.0,3.1,1.1,0.5,20,0,0,100,80
Tyson Stengle,9,17,6,11.33,1.11,0.33,0.44,22,0,0,67,44
Zach Guthrie,13,26,11,16.2,0.0,0.0,0.6,60,10,10,0,0
Zach Tuohy,12,24,11,16.9,0.3,0.4,0.6,70,30,0,30,0
