Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-06-20 19:40:00,Win,Lose,Carlton,Geelong Cats
2021-07-10 16:35:00,Lose,Win,Carlton,Geelong Cats
2022-07-16 19:25:00,Lose,Win,Carlton,Geelong Cats
2023-03-23 19:20:00,Win,Lose,Carlton,Geelong Cats
2020-07-04 19:40:00,Lose,Win,Port Adelaide,Brisbane Lions
2021-05-01 19:25:00,Lose,Win,Port Adelaide,Brisbane Lions
2022-03-19 20:10:00,Lose,Win,Port Adelaide,Brisbane Lions
2023-03-18 16:35:00,Win,Lose,Port Adelaide,Brisbane Lions
2023-09-09 19:25:00,Lose,Win,Port Adelaide,Brisbane Lions
2020-08-13 20:10:00,Lose,Win,GWS Giants,Sydney Swans
2021-04-17 16:35:00,Win,Lose,GWS Giants,Sydney Swans
2021-07-18 18:10:00,Lose,Win,GWS Giants,Sydney Swans
2021-08-28 15:20:00,Win,Lose,GWS Giants,Sydney Swans
2022-03-19 17:10:00,Lose,Win,GWS Giants,Sydney Swans
2020-08-09 18:10:00,Win,Lose,Melbourne,North Melbourne
2021-05-02 13:10:00,Win,Lose,Melbourne,North Melbourne
2022-05-21 16:35:00,Win,Lose,Melbourne,North Melbourne
2023-04-29 19:25:00,Win,Lose,Melbourne,North Melbourne
2023-08-06 13:10:00,Win,Lose,Melbourne,North Melbourne
2020-09-01 20:10:00,Lose,Win,Essendon,West Coast Eagles
2021-05-29 19:40:00,Win,Lose,Essendon,West Coast Eagles
2022-06-24 20:40:00,Lose,Win,Essendon,West Coast Eagles
2023-05-27 19:30:00,Win,Lose,Essendon,West Coast Eagles
2023-08-05 13:45:00,Win,Lose,Essendon,West Coast Eagles
2020-06-27 19:40:00,Lose,Win,Fremantle,Gold Coast Suns
2021-06-12 16:15:00,Win,Lose,Fremantle,Gold Coast Suns
2022-05-15 13:40:00,Lose,Win,Fremantle,Gold Coast Suns
2023-04-14 17:10:00,Win,Lose,Fremantle,Gold Coast Suns
