Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,13,14,8,11.33,0.0,0.0,0.0,0,0,0,0,0
Bailey Scott,13,23,8,15.67,0.33,0.33,0.67,67,33,0,33,0
Bigoa Nyuon,3,19,11,14.33,0.0,0.0,0.67,33,0,0,0,0
Blake Drury,5,12,6,9.67,0.0,0.0,0.33,0,0,0,0,0
Callum Coleman-Jones,3,9,3,6.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,12,19,14,16.0,1.67,1.0,1.0,67,0,0,100,33
Charlie Comben,10,15,10,13.0,0.0,0.33,1.0,33,0,0,0,0
Charlie Lazzaro,9,7,6,6.33,0.0,0.0,0.0,0,0,0,0,0
Colby McKercher,9,32,30,30.67,0.0,0.33,0.0,100,100,100,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,4,22,7,14.67,0.33,0.0,0.67,67,33,0,33,0
Darcy Tucker,13,29,21,23.67,0.0,0.0,0.67,100,100,33,0,0
Dylan Stephens,7,18,10,13.67,0.0,0.0,0.0,33,0,0,0,0
Eddie Ford,10,16,8,11.0,0.33,0.33,0.0,33,0,0,33,0
George Wardlaw,12,30,20,23.67,0.33,0.33,2.33,100,100,33,33,0
Griffin Logue,15,16,1,9.67,0.0,0.0,0.33,33,0,0,0,0
Harry Sheezel,13,30,18,24.33,1.33,0.0,0.67,100,67,67,100,33
Hugh Greenwood,3,12,5,9.33,0.33,0.33,0.33,0,0,0,33,0
Jackson Archer,5,12,6,9.0,0.0,0.0,0.67,0,0,0,0,0
Jaidyn Stephenson,10,14,5,10.33,0.33,0.0,0.0,0,0,0,33,0
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,8,28,14,19.33,1.0,0.0,2.33,67,33,33,67,33
Kallan Dawson,6,13,8,9.67,0.0,0.0,0.67,0,0,0,0,0
Liam Shiels,8,16,12,14.0,0.0,0.33,0.33,33,0,0,0,0
Luke Davies-Uniacke,13,35,26,30.67,0.33,0.67,1.67,100,100,100,33,0
Luke McDonald,12,17,9,12.0,0.0,0.0,0.0,33,0,0,0,0
Miller Bergman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Nick Larkey,13,15,6,11.33,3.0,0.33,1.0,33,0,0,67,67
Paul Curtis,13,17,11,13.33,1.33,0.0,0.33,33,0,0,100,33
Riley Hardeman,3,12,7,10.0,0.0,0.0,0.33,0,0,0,0,0
Tarryn Thomas,12,25,22,23.0,0.67,1.0,1.33,100,100,33,33,33
Toby Pink,8,9,7,8.0,0.33,0.33,0.67,0,0,0,33,0
Tom Powell,13,18,12,14.67,0.33,0.0,0.33,33,0,0,33,0
Tristan Xerri,13,22,15,18.67,0.67,0.33,3.67,100,33,0,33,33
Will Phillips,4,19,8,13.33,0.33,0.0,1.0,33,0,0,33,0
Zac Fisher,13,36,24,30.67,0.0,0.33,0.67,100,100,67,0,0
Zane Duursma,10,9,3,5.33,0.67,0.33,1.0,0,0,0,67,0
