Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Ryan,1,2,2,2.0,1.0,0.0,0.0,0,0,0,100,0
Brandon Starcevich,9,10,10,10.0,0.33,0.0,0.0,0,0,0,33,0
Callum Ah Chee,12,13,10,11.0,0.33,0.67,0.67,0,0,0,33,0
Cam Rayner,13,18,7,12.67,0.67,1.33,1.0,33,0,0,67,0
Charlie Cameron,13,12,9,10.0,0.67,1.33,0.67,0,0,0,67,0
Conor McKenna,8,19,7,14.0,0.0,0.67,0.33,67,0,0,0,0
Darcy Fort,2,11,10,10.5,0.5,0.5,1.0,0,0,0,50,0
Darcy Gardiner,7,10,3,6.0,0.67,0.33,1.0,0,0,0,33,33
Darcy Wilmot,13,25,18,22.0,0.0,0.0,0.67,100,67,33,0,0
Dayne Zorko,13,30,19,24.0,0.0,0.33,1.0,100,67,33,0,0
Deven Robertson,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Eric Hipwood,12,20,9,14.33,3.0,1.67,1.0,33,33,0,100,67
Harris Andrews,13,15,9,12.0,0.0,0.0,1.0,33,0,0,0,0
Harry Sharp,4,13,2,9.0,0.33,0.33,0.0,0,0,0,33,0
Hugh McCluggage,13,26,20,23.33,0.67,0.67,2.0,100,100,33,33,33
Jack Payne,12,15,10,12.33,0.0,0.0,0.33,33,0,0,0,0
James Tunstill,3,11,4,6.67,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,13,24,21,22.67,0.33,0.0,2.33,100,100,0,33,0
Jarryd Lyons,3,25,11,18.33,0.0,0.0,1.0,67,33,33,0,0
Jaspa Fletcher,13,17,13,15.0,0.0,0.0,0.0,67,0,0,0,0
Jaxon Prior,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Joe Daniher,13,20,14,17.67,3.0,1.67,1.0,67,33,0,100,100
Josh Dunkley,13,25,23,24.0,0.33,0.0,1.0,100,100,33,33,0
Kai Lohmann,13,18,11,13.67,1.67,1.33,0.33,33,0,0,100,67
Keidean Coleman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Lachie Neale,12,38,20,29.0,0.67,0.0,2.0,100,100,67,33,33
Lincoln McCarthy,8,17,0,8.67,0.67,1.0,0.67,33,0,0,67,0
Logan Morris,6,12,8,9.67,2.0,0.33,0.33,0,0,0,100,67
Noah Answerth,11,12,2,6.0,0.0,0.0,0.67,0,0,0,0,0
Oscar McInerney,12,18,6,13.33,0.33,0.0,3.33,67,0,0,33,0
Ryan Lester,13,21,11,16.0,0.0,0.0,1.0,67,33,0,0,0
Shadeau Brain,2,8,4,6.0,0.0,0.0,0.0,0,0,0,0,0
Zac Bailey,8,17,12,13.67,1.33,0.33,0.0,33,0,0,67,67
