Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,12,18,13,15.8,0.0,0.0,0.8,80,0,0,0,0
Brandon Zerk-Thatcher,13,11,5,9.2,0.0,0.0,0.6,0,0,0,0,0
Charlie Dixon,10,15,1,9.4,1.0,0.6,0.8,20,0,0,40,20
Connor Rozee,10,20,11,15.8,0.2,0.6,1.2,60,20,0,20,0
Dan Houston,13,35,20,24.6,0.6,0.2,1.0,100,100,20,20,20
Dante Visentini,2,10,8,9.0,0.0,0.0,1.0,0,0,0,0,0
Darcy Byrne-Jones,13,15,7,11.2,1.4,1.0,0.6,20,0,0,80,60
Dylan Williams,4,12,6,9.5,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,13,12,8,10.0,0.2,0.0,0.8,0,0,0,20,0
Francis Evans,6,11,1,7.2,0.4,0.4,0.6,0,0,0,40,0
Ivan Soldo,8,13,6,9.0,0.4,0.4,1.0,0,0,0,40,0
Jackson Mead,13,23,17,20.0,0.0,0.0,1.0,100,60,0,0,0
Jase Burgoyne,11,23,13,17.8,0.2,0.4,0.4,80,40,0,20,0
Jason Horne-Francis,11,27,18,23.4,1.0,1.2,3.0,100,80,40,80,20
Jed McEntee,11,17,6,8.8,0.4,0.4,0.2,20,0,0,40,0
Jeremy Finlayson,8,19,5,11.6,1.0,1.2,0.0,20,0,0,60,20
Jordon Sweet,4,13,5,9.25,0.0,0.25,0.75,0,0,0,0,0
Josh Sinn,2,16,14,15.0,0.0,0.0,0.0,50,0,0,0,0
Kane Farrell,13,30,14,20.4,0.6,0.2,0.8,60,40,40,40,20
Lachie Jones,10,17,6,12.2,0.0,0.0,1.0,40,0,0,0,0
Miles Bergman,13,18,7,12.2,0.0,0.2,0.2,20,0,0,0,0
Mitch Georgiades,10,15,4,10.0,2.2,1.0,0.2,20,0,0,80,80
Ollie Wines,12,33,7,22.0,0.6,0.0,0.8,80,60,60,40,20
Ollie Lord,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Quinton Narkle,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Ryan Burton,11,23,9,14.0,0.0,0.0,0.6,40,20,0,0,0
Sam Powell-Pepper,3,11,7,9.33,1.0,1.33,0.67,0,0,0,67,33
Todd Marshall,13,13,6,10.2,1.8,1.0,0.2,0,0,0,100,20
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,11,26,17,21.0,0.0,0.8,0.2,100,40,40,0,0
Trent McKenzie,19,9,3,6.6,0.0,0.0,0.0,0,0,0,0,0
Willem Drew,13,27,9,18.2,0.0,0.0,1.0,80,40,20,0,0
Willie Rioli,11,14,0,9.8,2.0,1.2,0.8,0,0,0,80,60
Zak Butters,13,34,17,25.0,0.6,0.4,1.4,100,60,40,40,20
