Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,10,13,5,8.2,1.2,0.6,0.8,0,0,0,80,40
Ben Paton,11,21,6,13.45,0.0,0.0,0.82,45,9,0,0,0
Brad Crouch,13,34,18,27.77,0.23,0.15,1.08,100,85,69,15,8
Bradley Hill,13,31,13,21.08,0.23,0.23,0.62,92,62,15,15,8
Callum Wilkie,13,28,8,20.31,0.0,0.08,0.85,92,62,8,0,0
Cooper Sharman,5,18,3,8.0,0.6,0.4,0.4,20,0,0,60,0
Dan Butler,13,16,6,11.08,1.62,0.69,1.0,8,0,0,77,54
Dougal Howard,13,18,8,13.0,0.0,0.0,0.46,31,0,0,0,0
Hunter Clark,11,27,1,20.64,0.27,0.18,1.0,91,73,36,27,0
Jack Bytel,5,15,3,7.0,0.2,0.2,0.4,20,0,0,20,0
Jack Higgins,13,22,8,13.62,1.92,0.54,1.15,31,8,0,85,54
Jack Sinclair,13,37,18,28.23,0.31,0.08,0.46,100,92,77,23,8
Jack Steele,10,29,14,22.9,0.2,0.1,1.1,90,80,40,20,0
Jade Gresham,12,23,7,16.67,0.92,0.75,0.75,83,25,0,58,33
Jimmy Webster,6,19,13,15.33,0.0,0.0,0.67,50,0,0,0,0
Josh Battle,13,24,8,14.46,0.08,0.0,0.62,54,8,0,8,0
Marcus Windhager,8,20,4,11.0,0.25,0.38,0.62,25,12,0,25,0
Mason Wood,13,27,16,20.46,0.77,0.38,1.38,100,54,8,62,15
Mattaes Phillipou,13,19,7,14.0,0.62,0.38,0.69,38,0,0,46,8
Mitch Owens,12,27,7,15.17,1.25,1.0,2.08,58,17,8,67,50
Nasiah Wanganeen Milera,13,30,15,22.0,0.08,0.15,0.23,100,62,31,8,0
Rowan Marshall,13,26,10,19.15,0.08,0.46,2.0,92,46,15,8,0
Ryan Byrnes,13,27,8,18.38,0.31,0.31,0.69,77,46,8,31,0
Sebastian Ross,12,30,12,21.08,0.08,0.0,0.67,75,58,33,8,0
Tim Membrey,4,12,9,11.0,0.75,1.25,0.25,0,0,0,75,0
Zaine Cordy,7,13,1,6.14,0.86,0.0,0.43,0,0,0,71,14
