Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,12,28,7,19.25,0.08,0.0,0.92,92,42,25,8,0
Andrew Gaff,13,32,10,19.92,0.08,0.23,0.69,85,46,15,8,0
Bailey J. Williams,13,21,6,13.31,0.15,0.08,1.77,31,15,0,15,0
Brady Hough,7,21,6,12.57,0.0,0.0,1.0,29,14,0,0,0
Callum Jamieson,4,17,3,9.75,0.0,0.25,1.0,25,0,0,0,0
Campbell Chesser,5,12,5,8.8,0.0,0.4,0.4,0,0,0,0,0
Connor West,9,14,1,10.22,0.33,0.56,1.22,0,0,0,33,0
Dom Sheed,9,43,17,25.56,0.44,0.33,1.22,100,78,56,33,11
Elijah Hewett,4,14,3,7.25,0.0,0.5,0.5,0,0,0,0,0
Elliot Yeo,5,30,12,20.8,0.0,0.0,1.2,60,60,40,0,0
Greg Clark,10,19,7,12.5,0.2,0.2,0.4,30,0,0,20,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,10,14,4,9.3,1.1,1.3,1.0,0,0,0,70,30
Jack Petruccelle,10,17,1,11.0,0.6,0.2,1.0,20,0,0,60,0
Jai Culley,5,14,1,8.4,1.0,0.4,0.6,0,0,0,40,20
Jake Waterman,11,23,6,14.36,1.0,0.82,1.0,36,18,0,45,18
Jamaine Jones,10,30,4,18.5,0.3,0.2,0.8,60,50,30,20,10
Jamie Cripps,3,17,6,11.67,1.33,1.67,0.33,33,0,0,67,33
Jayden Hunt,13,34,12,19.15,0.31,0.31,0.46,77,38,8,23,8
Jeremy McGovern,3,22,10,17.67,0.0,0.0,1.0,67,67,0,0,0
Josh Rotham,9,13,2,8.56,0.0,0.0,0.67,0,0,0,0,0
Liam Duggan,12,35,14,23.0,0.0,0.0,0.5,83,58,33,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,8,17,3,11.25,0.0,0.0,0.88,38,0,0,0,0
Luke Foley,8,15,8,12.25,0.0,0.0,0.75,25,0,0,0,0
Luke Shuey,5,27,9,17.8,0.2,0.4,2.4,80,40,20,20,0
Noah Long,9,18,4,10.33,0.33,0.56,0.44,22,0,0,33,0
Oscar Allen,13,15,6,10.92,2.54,0.92,1.46,8,0,0,100,85
Reuben Ginbey,13,20,9,14.31,0.08,0.15,0.62,46,8,0,8,0
Rhett Bazzo,6,13,3,8.67,0.0,0.0,0.33,0,0,0,0,0
Sam Petrevski Seton,7,22,4,12.71,0.29,0.0,0.57,29,29,0,29,0
Shannon Hurn,8,27,5,19.75,0.0,0.0,0.38,75,62,38,0,0
Tim Kelly,13,36,22,28.62,0.54,0.23,0.85,100,100,85,46,8
Tom Barrass,10,21,4,12.7,0.0,0.0,0.7,40,10,0,0,0
Tom Cole,4,20,11,16.0,0.0,0.0,0.25,50,25,0,0,0
Zane Trew,3,11,9,9.67,0.0,0.0,0.0,0,0,0,0,0
