Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Ryan,1,2,2,2.0,1.0,0.0,0.0,0,0,0,100,0
Brandon Starcevich,10,10,10,10.0,0.33,0.0,0.67,0,0,0,33,0
Callum Ah Chee,13,20,10,14.33,1.0,0.33,0.67,33,33,0,67,33
Cam Rayner,14,20,13,17.0,1.0,2.0,1.67,67,33,0,100,0
Charlie Cameron,14,10,9,9.33,1.0,1.0,0.0,0,0,0,67,33
Conor McKenna,9,20,7,15.33,0.0,0.33,0.33,67,33,0,0,0
Darcy Fort,2,11,10,10.5,0.5,0.5,1.0,0,0,0,50,0
Darcy Gardiner,7,10,3,6.0,0.67,0.33,1.0,0,0,0,33,33
Darcy Wilmot,14,25,23,24.0,0.0,0.0,1.0,100,100,33,0,0
Dayne Zorko,14,30,23,26.33,0.0,0.0,1.0,100,100,67,0,0
Deven Robertson,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Eric Hipwood,13,20,14,16.67,4.33,1.67,0.33,67,33,0,100,100
Harris Andrews,14,15,9,12.33,0.0,0.0,0.67,33,0,0,0,0
Harry Sharp,4,13,2,9.0,0.33,0.33,0.0,0,0,0,33,0
Hugh McCluggage,14,26,18,22.67,1.33,0.67,1.67,100,67,33,67,67
Jack Payne,13,12,6,9.33,0.0,0.0,0.33,0,0,0,0,0
James Tunstill,3,11,4,6.67,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,14,24,17,21.33,0.33,0.0,2.0,100,67,0,33,0
Jarryd Lyons,3,25,11,18.33,0.0,0.0,1.0,67,33,33,0,0
Jaspa Fletcher,14,17,15,16.33,0.0,0.0,0.0,100,0,0,0,0
Jaxon Prior,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Joe Daniher,14,21,19,20.0,3.33,2.33,0.33,100,67,0,100,100
Josh Dunkley,14,32,23,26.33,0.33,0.0,1.33,100,100,33,33,0
Kai Lohmann,14,12,8,10.33,1.0,0.33,0.33,0,0,0,67,33
Keidean Coleman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Lachie Neale,13,38,20,31.67,0.67,0.0,2.0,100,100,67,33,33
Lincoln McCarthy,8,17,0,8.67,0.67,1.0,0.67,33,0,0,67,0
Logan Morris,7,12,8,9.67,2.0,0.33,0.67,0,0,0,100,67
Noah Answerth,11,12,2,6.0,0.0,0.0,0.67,0,0,0,0,0
Oscar McInerney,13,18,6,14.0,1.33,0.0,4.0,67,0,0,67,33
Ryan Lester,14,21,11,14.67,0.0,0.0,0.67,33,33,0,0,0
Shadeau Brain,3,8,2,4.67,0.0,0.0,0.0,0,0,0,0,0
Zac Bailey,9,26,12,18.33,1.0,0.33,0.33,67,33,33,67,33
