Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,14,16,7,11.86,0.0,0.0,1.0,29,0,0,0,0
Brynn Teakle,4,14,7,10.25,0.25,0.5,1.25,0,0,0,25,0
Charlie Dixon,9,15,7,11.89,1.89,1.22,0.67,22,0,0,67,67
Connor Rozee,14,31,19,25.21,0.71,0.5,1.43,100,86,64,64,7
Dan Houston,14,33,16,22.07,0.36,0.21,0.86,100,71,29,29,7
Darcy Byrne Jones,13,27,5,13.85,0.69,0.77,0.46,38,8,8,46,23
Dylan Williams,11,24,9,16.45,0.0,0.09,0.55,73,18,0,0,0
Francis Evans,5,14,2,5.4,0.4,0.2,0.2,0,0,0,20,20
Jackson Mead,5,10,4,8.0,0.4,0.2,0.2,0,0,0,40,0
Jase Burgoyne,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
Jason Horne Francis,14,25,13,18.29,0.57,0.36,1.93,79,36,14,50,7
Jed McEntee,11,13,4,9.36,1.0,0.18,0.55,0,0,0,82,18
Jeremy Finlayson,12,20,8,13.75,2.33,1.5,0.83,50,8,0,83,67
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,12,23,9,15.42,0.08,0.17,0.5,58,17,0,8,0
Lachie Jones,6,19,5,11.17,0.67,0.0,0.67,17,0,0,33,17
Miles Bergman,14,23,6,14.43,0.0,0.5,0.71,50,21,0,0,0
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,14,29,18,23.36,0.29,0.29,1.07,100,86,43,29,0
Ollie Lord,6,10,5,8.5,0.83,0.83,0.83,0,0,0,67,17
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0
Riley Bonner,9,20,2,12.33,0.22,0.67,0.11,44,11,0,11,11
Ryan Burton,11,24,7,13.91,0.64,0.27,0.73,36,18,0,55,9
Sam Powell Pepper,14,21,7,14.43,1.21,1.14,0.86,43,14,0,79,36
Scott Lycett,10,18,2,11.5,0.0,0.0,2.1,10,0,0,0,0
Tom Jonas,8,12,2,7.12,0.12,0.0,0.62,0,0,0,12,0
Todd Marshall,11,16,0,9.27,1.91,0.91,0.55,18,0,0,82,55
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,11,30,11,17.27,0.36,0.36,0.82,55,36,18,36,0
Trent McKenzie,12,16,6,10.83,0.0,0.0,0.33,8,0,0,0,0
Willem Drew,14,25,10,16.64,0.29,0.36,0.93,64,29,7,29,0
Willie Rioli,11,16,6,10.27,1.27,1.09,0.55,9,0,0,55,45
Xavier Duursma,7,22,5,14.29,0.43,0.0,1.14,43,29,0,43,0
Zak Butters,14,41,15,27.21,0.64,0.36,1.5,100,86,71,57,7
