Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,14,15,9,12.8,1.0,0.4,0.6,20,0,0,100,0
Brandan Parfitt,8,20,13,17.4,0.2,0.2,0.2,80,40,0,20,0
Cameron Guthrie,4,27,9,16.75,0.0,0.0,1.0,75,25,25,0,0
Connor O'Sullivan,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
Gary Rohan,6,12,3,6.4,0.8,0.0,0.0,0,0,0,60,20
Gryan Miers,14,29,12,19.2,0.8,0.6,0.2,80,40,20,60,20
Jack Bowes,11,29,5,16.0,0.6,0.6,1.2,40,40,20,40,20
Jack Henry,14,13,7,10.6,0.0,0.0,0.8,0,0,0,0,0
Jake Kolodjashnij,13,19,13,15.8,0.2,0.2,0.2,80,0,0,20,0
Jed Bews,15,15,6,10.4,0.0,0.0,0.4,40,0,0,0,0
Jeremy Cameron,13,21,16,17.6,1.6,1.0,0.8,100,20,0,100,40
Jhye Clark,12,20,5,13.4,0.2,0.2,0.6,60,20,0,20,0
Mark Blicavs,13,22,9,14.2,0.0,0.2,0.8,40,20,0,0,0
Mark O'Connor,12,16,9,13.2,0.0,0.0,0.8,40,0,0,0,0
Max Holmes,14,32,23,28.0,1.0,0.6,0.6,100,100,60,100,0
Mitch Duncan,12,27,19,22.0,0.2,0.6,0.4,100,80,20,20,0
Mitchell Knevitt,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Oisin Mullin,8,15,3,10.2,0.0,0.0,0.6,20,0,0,0,0
Oliver Henry,13,11,2,7.0,0.6,0.4,1.0,0,0,0,40,20
Oliver Dempsey,14,27,10,20.2,0.8,0.0,1.2,60,60,60,40,20
Patrick Dangerfield,5,25,16,20.2,0.4,0.4,1.2,100,60,20,40,0
Rhys Stanley,8,12,3,7.4,0.0,0.0,1.0,0,0,0,0,0
Sam De Koning,13,20,10,14.8,0.2,0.0,1.4,60,20,0,20,0
Shannon Neale,5,12,3,8.2,1.8,0.4,0.4,0,0,0,100,60
Shaun Mannagh,2,13,5,9.0,0.5,1.0,0.0,0,0,0,50,0
Tanner Bruhn,11,26,9,16.0,0.6,0.4,1.2,40,40,20,60,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,13,21,15,18.8,0.0,0.0,0.6,100,60,0,0,0
Toby Conway,5,21,9,13.6,0.2,0.0,1.4,20,20,0,20,0
Tom Atkins,13,27,16,20.2,0.0,0.2,1.6,100,60,20,0,0
Tom Hawkins,12,12,3,8.8,1.2,0.6,0.4,0,0,0,80,40
Tyson Stengle,14,18,12,14.8,2.0,1.0,1.0,60,0,0,100,60
Zach Guthrie,14,19,13,16.8,0.2,0.0,0.2,80,0,0,20,0
Zach Tuohy,10,24,9,15.0,0.6,0.6,0.2,40,20,0,60,0
