Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tom Stewart,18,15/07/2023,Bombers,Win 122-45,18,0,0
2023,Tom Stewart,7,30/04/2023,Bombers,Win 132-104,26,0,0
2022,Tom Stewart,1,19/03/2022,Bombers,Win 138-72,21,0,0
2021,Tom Stewart,16,02/07/2021,Bombers,Win 98-57,25,0,0
2023,Mitch Duncan,18,15/07/2023,Bombers,Win 122-45,21,0,0
2023,Mitch Duncan,7,30/04/2023,Bombers,Win 132-104,16,0,1
2022,Cameron Guthrie,1,19/03/2022,Bombers,Win 138-72,25,1,0
2021,Cameron Guthrie,16,02/07/2021,Bombers,Win 98-57,16,0,0
2023,Jeremy Cameron,18,15/07/2023,Bombers,Win 122-45,17,1,3
2023,Jeremy Cameron,7,30/04/2023,Bombers,Win 132-104,20,3,1
2022,Jeremy Cameron,1,19/03/2022,Bombers,Win 138-72,5,2,0
2021,Jeremy Cameron,16,02/07/2021,Bombers,Win 98-57,4,3,0
2023,Mark Blicavs,18,15/07/2023,Bombers,Win 122-45,19,2,0
2023,Mark Blicavs,7,30/04/2023,Bombers,Win 132-104,15,0,0
2022,Mark Blicavs,1,19/03/2022,Bombers,Win 138-72,12,0,0
2021,Mark Blicavs,16,02/07/2021,Bombers,Win 98-57,8,0,0
2023,Patrick Dangerfield,18,15/07/2023,Bombers,Win 122-45,15,1,0
2023,Patrick Dangerfield,7,30/04/2023,Bombers,Win 132-104,28,0,1
2022,Patrick Dangerfield,1,19/03/2022,Bombers,Win 138-72,31,1,2
2021,Patrick Dangerfield,16,02/07/2021,Bombers,Win 98-57,37,1,0
2023,Tom Atkins,18,15/07/2023,Bombers,Win 122-45,28,0,0
2023,Tom Atkins,7,30/04/2023,Bombers,Win 132-104,17,0,0
2022,Tom Atkins,1,19/03/2022,Bombers,Win 138-72,21,0,0
2021,Tom Atkins,16,02/07/2021,Bombers,Win 98-57,29,0,0
2023,Max Holmes,18,15/07/2023,Bombers,Win 122-45,33,0,0
2023,Max Holmes,7,30/04/2023,Bombers,Win 132-104,18,1,0
2022,Max Holmes,1,19/03/2022,Bombers,Win 138-72,16,2,1
2021,Max Holmes,16,02/07/2021,Bombers,Win 98-57,8,0,1
2023,Gryan Miers,18,15/07/2023,Bombers,Win 122-45,26,1,1
2023,Gryan Miers,7,30/04/2023,Bombers,Win 132-104,24,0,0
2021,Gryan Miers,16,02/07/2021,Bombers,Win 98-57,12,2,0
2023,Rhys Stanley,18,15/07/2023,Bombers,Win 122-45,12,0,0
2022,Rhys Stanley,1,19/03/2022,Bombers,Win 138-72,17,0,0
2021,Rhys Stanley,16,02/07/2021,Bombers,Win 98-57,11,0,0
2023,Tanner Bruhn,18,15/07/2023,Bombers,Win 122-45,19,0,0
2023,Tanner Bruhn,7,30/04/2023,Bombers,Win 132-104,11,2,0
2022,Tanner Bruhn,21,06/08/2022,Bombers,Win 96-69,10,1,0
2021,Tanner Bruhn,19,25/07/2021,Bombers,Win 66-53,6,0,0
2021,Tanner Bruhn,8,08/05/2021,Bombers,Win 107-105,6,2,0
2023,Zach Guthrie,18,15/07/2023,Bombers,Win 122-45,24,0,1
2023,Zach Guthrie,7,30/04/2023,Bombers,Win 132-104,18,0,0
2022,Zach Guthrie,1,19/03/2022,Bombers,Win 138-72,17,0,0
2022,Zach Tuohy,1,19/03/2022,Bombers,Win 138-72,19,1,0
2021,Zach Tuohy,16,02/07/2021,Bombers,Win 98-57,26,1,1
2023,Tom Hawkins,18,15/07/2023,Bombers,Win 122-45,16,5,3
2023,Tom Hawkins,7,30/04/2023,Bombers,Win 132-104,16,8,1
2022,Tom Hawkins,1,19/03/2022,Bombers,Win 138-72,17,4,2
2021,Tom Hawkins,16,02/07/2021,Bombers,Win 98-57,15,6,1
2023,Mark O'Connor,18,15/07/2023,Bombers,Win 122-45,15,1,0
2023,Mark O'Connor,7,30/04/2023,Bombers,Win 132-104,13,0,0
