Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,14,18,7,12.93,1.21,0.36,0.71,29,0,0,93,14
Brandan Parfitt,8,21,13,18.38,0.12,0.12,0.38,88,50,0,12,0
Cameron Guthrie,4,27,9,16.75,0.0,0.0,1.0,75,25,25,0,0
Connor O'Sullivan,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
Gary Rohan,6,12,3,6.0,0.67,0.0,0.0,0,0,0,50,17
Gryan Miers,14,29,12,20.93,0.86,0.43,0.57,93,79,14,57,21
Jack Bowes,11,29,5,17.18,0.64,0.64,0.64,55,55,9,45,18
Jack Henry,14,15,7,10.5,0.0,0.0,0.5,7,0,0,0,0
Jake Kolodjashnij,13,19,7,14.38,0.08,0.08,0.38,62,0,0,8,0
Jed Bews,15,15,2,10.47,0.0,0.07,0.2,13,0,0,0,0
Jeremy Cameron,13,27,9,17.69,2.08,1.38,0.54,92,31,8,85,62
Jhye Clark,12,20,1,11.75,0.17,0.08,0.67,33,8,0,17,0
Mark Blicavs,13,22,9,14.31,0.15,0.15,0.46,46,15,0,15,0
Mark O'Connor,12,17,5,12.42,0.17,0.25,0.75,50,0,0,17,0
Max Holmes,14,32,20,25.5,0.71,0.29,0.5,100,100,43,64,7
Mitch Duncan,12,27,14,21.33,0.17,0.5,0.25,92,67,17,17,0
Mitchell Knevitt,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Oisin Mullin,8,15,3,10.38,0.0,0.0,0.62,25,0,0,0,0
Oliver Henry,13,11,2,8.38,1.62,0.62,0.92,0,0,0,77,54
Oliver Dempsey,14,27,10,17.07,0.79,0.43,1.07,50,29,21,50,14
Patrick Dangerfield,5,25,16,20.2,0.4,0.4,1.2,100,60,20,40,0
Rhys Stanley,8,13,3,8.25,0.0,0.12,1.25,0,0,0,0,0
Sam De Koning,13,20,5,13.31,0.08,0.0,0.85,38,8,0,8,0
Shannon Neale,5,12,3,8.2,1.8,0.4,0.4,0,0,0,100,60
Shaun Mannagh,2,13,5,9.0,0.5,1.0,0.0,0,0,0,50,0
Tanner Bruhn,11,27,9,18.45,0.27,0.36,1.36,73,45,18,27,0
Ted Clohesy,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Tom Stewart,13,28,10,20.08,0.0,0.08,0.54,92,69,8,0,0
Toby Conway,5,21,9,13.6,0.2,0.0,1.4,20,20,0,20,0
Tom Atkins,13,27,6,17.23,0.0,0.15,1.38,77,38,8,0,0
Tom Hawkins,12,12,3,9.08,1.25,0.67,0.17,0,0,0,58,33
Tyson Stengle,14,18,7,14.0,2.0,0.79,0.57,43,0,0,93,64
Zach Guthrie,14,24,12,18.07,0.29,0.07,0.43,79,29,0,29,0
Zach Tuohy,10,24,9,15.5,0.7,0.4,0.4,60,10,0,50,10
