Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,12,14,3,7.0,1.3,0.5,0.6,0,0,0,90,30
Beau McCreery,14,15,2,9.0,0.7,0.2,0.2,10,0,0,50,20
Billy Frampton,9,15,8,10.44,0.33,0.22,0.22,11,0,0,33,0
Brayden Maynard,14,27,10,18.0,0.0,0.1,0.6,70,40,20,0,0
Brody Mihocek,14,17,6,9.7,2.3,1.0,0.3,20,0,0,80,70
Daniel McStay,5,16,1,8.6,0.6,0.6,0.8,20,0,0,60,0
Darcy Cameron,8,23,9,14.88,0.0,0.62,2.12,50,12,0,0,0
Darcy Moore,14,25,13,17.9,0.0,0.1,0.7,80,30,10,0,0
Harvey Harrison,3,12,8,9.67,1.0,0.33,0.33,0,0,0,100,0
Isaac Quaynor,14,22,11,15.6,0.0,0.1,0.8,60,10,0,0,0
Jack Crisp,14,28,14,19.6,0.3,0.4,0.6,90,50,20,30,0
Jack Ginnivan,8,15,1,9.12,1.0,0.62,0.25,12,0,0,62,38
Jamie Elliott,12,17,9,12.1,1.0,0.9,0.6,20,0,0,60,30
Jeremy Howe,2,20,8,14.0,0.0,0.0,0.0,50,50,0,0,0
John Noble,14,25,14,20.7,0.1,0.0,1.5,90,70,10,10,0
Jordan De Goey,11,35,12,24.9,0.7,0.8,1.0,90,70,50,60,10
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Josh Daicos,14,33,17,25.6,0.7,0.4,0.9,100,80,60,50,10
Mason Cox,9,19,5,10.0,1.44,0.67,2.33,11,0,0,89,56
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Nathan Murphy,13,14,7,10.5,0.0,0.0,1.1,0,0,0,0,0
Nick Daicos,14,42,25,32.8,0.8,0.3,1.0,100,100,100,50,20
Patrick Lipinski,2,20,15,17.5,1.0,0.5,1.0,100,50,0,50,50
Reef McInnes,5,7,1,3.6,0.6,0.2,0.2,0,0,0,40,20
Scott Pendlebury,13,31,14,23.0,0.1,0.1,0.9,90,90,30,10,0
Steele Sidebottom,11,30,4,21.1,0.2,0.2,0.3,80,80,20,20,0
Taylor Adams,13,27,12,19.0,0.4,0.4,1.3,90,50,10,40,0
Tom Mitchell,14,36,22,28.0,0.3,0.1,1.7,100,100,80,30,0
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Will Hoskin Elliott,14,19,4,12.1,0.8,0.3,0.5,30,0,0,60,20
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
