Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,3,4,2,3.0,0.0,0.33,0.67,0,0,0,0,0
Beau McCreery,12,14,7,9.5,0.58,0.75,0.92,0,0,0,50,8
Billy Frampton,12,15,4,9.67,0.08,0.33,0.83,25,0,0,8,0
Brayden Maynard,14,24,12,18.43,0.21,0.07,0.93,93,43,0,21,0
Brody Mihocek,9,15,7,10.78,1.78,1.33,1.33,11,0,0,67,67
Charlie Dean,6,14,8,11.0,0.0,0.0,1.5,0,0,0,0,0
Darcy Cameron,14,24,4,15.71,0.36,0.14,1.21,71,21,0,29,7
Darcy Moore,14,23,6,13.57,0.0,0.0,0.29,36,7,0,0,0
Edward Allan,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Finlay Macrae,8,17,3,9.88,0.5,0.12,0.62,25,0,0,25,12
Harvey Harrison,8,13,1,9.38,1.12,0.12,0.38,0,0,0,62,25
Bobby Hill,14,15,8,10.43,1.43,1.0,0.43,7,0,0,79,36
Isaac Quaynor,14,18,8,13.57,0.0,0.0,0.64,50,0,0,0,0
Jack Crisp,14,32,11,20.79,0.5,0.43,0.86,86,50,29,50,0
Jamie Elliott,8,16,11,13.5,1.75,0.88,0.75,25,0,0,88,50
Jeremy Howe,11,24,1,14.45,0.18,0.18,0.55,45,9,0,18,0
Joe Richards,3,22,12,17.33,1.0,0.67,0.67,67,33,0,100,0
John Noble,12,29,8,19.92,0.08,0.08,0.92,83,58,17,8,0
Jordan De Goey,8,31,13,22.38,0.5,0.75,1.12,88,75,38,38,12
Josh Daicos,14,34,16,24.57,0.43,0.36,1.43,100,86,50,36,7
Lachie Schultz,13,16,9,11.62,1.38,1.0,0.77,15,0,0,77,38
Mason Cox,11,12,4,7.55,0.27,0.45,1.91,0,0,0,18,9
Nathan Kreuger,2,11,6,8.5,2.0,1.0,2.0,0,0,0,100,50
Nick Daicos,14,41,15,30.43,0.86,0.64,1.64,100,93,86,64,21
Oleg Markov,8,16,6,9.88,0.12,0.0,0.12,12,0,0,12,0
Patrick Lipinski,14,26,12,18.86,0.86,0.36,0.43,86,36,7,57,14
Reef McInnes,7,12,2,6.14,1.71,0.29,0.57,0,0,0,100,43
Scott Pendlebury,11,30,6,21.36,0.36,0.18,1.27,91,73,27,27,9
Steele Sidebottom,13,23,7,16.85,0.0,0.31,0.77,77,38,0,0,0
Tew Jiath,1,5,5,5.0,0.0,0.0,1.0,0,0,0,0,0
Tom Mitchell,6,30,9,20.0,0.17,0.17,1.83,83,50,17,17,0
Will Hoskin-Elliott,11,21,3,13.27,0.82,0.73,0.45,36,9,0,64,18
