Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,8,17,9,13.33,0.0,0.0,0.33,33,0,0,0,0
Alex Sexton,6,8,3,4.67,0.0,0.33,0.0,0,0,0,0,0
Bailey Humphrey,11,17,11,13.67,1.0,0.67,1.0,33,0,0,67,33
Ben Ainsworth,12,27,14,21.0,1.0,0.33,0.0,67,67,33,67,33
Ben King,14,12,9,10.33,2.0,1.67,2.33,0,0,0,100,67
Ben Long,12,11,8,10.0,0.0,0.33,0.33,0,0,0,0,0
Bodhi Uwland,3,20,0,8.33,0.0,0.0,0.67,33,33,0,0,0
Brandon Ellis,7,16,12,14.0,0.33,0.67,0.33,33,0,0,33,0
Brayden Fiorini,12,35,16,22.67,0.0,0.67,0.33,100,33,33,0,0
Charlie Ballard,14,17,9,12.67,0.0,0.0,0.67,33,0,0,0,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0
Darcy Macpherson,14,25,12,19.67,0.0,0.0,1.33,67,67,33,0,0
David Swallow,14,18,10,14.67,0.67,0.0,1.67,67,0,0,67,0
Elijah Hollands,4,15,10,12.33,0.33,0.0,0.33,33,0,0,33,0
Hewago Paul Oea,4,13,8,10.67,0.0,0.33,0.67,0,0,0,0,0
Jack Lukosius,14,18,11,15.0,2.67,1.67,1.0,67,0,0,100,67
James Tsitas,2,4,2,3.0,1.0,0.0,0.0,0,0,0,50,50
Jarrod Witts,12,14,6,10.0,0.33,0.33,1.67,0,0,0,33,0
Joel Jeffrey,7,15,6,11.67,0.33,0.0,0.33,33,0,0,33,0
Jy Farrar,4,14,4,9.33,0.0,0.33,1.33,0,0,0,0,0
Lachie Weller,7,28,12,19.33,0.0,0.0,0.33,67,33,33,0,0
Levi Casboult,11,12,10,11.0,1.33,1.67,0.67,0,0,0,67,67
Mabior Chol,6,7,3,5.0,1.33,0.67,0.33,0,0,0,67,67
Mac Andrew,8,15,8,11.67,0.0,0.0,0.33,33,0,0,0,0
Malcolm Rosas,13,15,6,11.67,1.0,1.0,1.0,33,0,0,33,33
Matt Rowell,14,21,15,18.67,0.33,0.0,2.33,100,67,0,33,0
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,12,18,10,15.0,0.33,0.67,0.67,67,0,0,33,0
Noah Anderson,14,28,27,27.67,1.33,0.33,1.0,100,100,100,67,67
Rory Atkins,8,21,7,15.0,0.0,0.33,0.67,67,33,0,0,0
Sam Day,2,10,2,6.0,0.5,0.5,0.5,0,0,0,50,0
Sam Flanders,5,27,7,15.67,0.0,0.0,0.67,33,33,33,0,0
Sam Collins,14,13,8,11.33,0.0,0.0,0.33,0,0,0,0,0
Sean Lemmens,6,10,7,9.0,0.0,0.33,0.33,0,0,0,0,0
Thomas Berry,6,9,1,6.0,0.0,0.67,0.0,0,0,0,0,0
Touk Miller,6,32,13,23.67,0.0,0.0,1.33,67,67,67,0,0
Wil Powell,12,19,17,18.0,0.0,0.33,1.0,100,0,0,0,0
