Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,8,19,9,13.38,0.0,0.25,0.75,38,0,0,0,0
Alex Sexton,6,8,3,4.17,0.5,0.5,0.17,0,0,0,50,0
Bailey Humphrey,11,26,1,13.45,0.82,0.73,0.82,45,18,9,64,18
Ben Ainsworth,12,27,10,17.08,0.92,0.67,0.5,58,25,8,67,25
Ben King,14,15,4,8.5,2.36,1.07,1.5,7,0,0,100,71
Ben Long,12,19,8,12.17,0.0,0.08,0.25,17,0,0,0,0
Bodhi Uwland,3,20,0,8.33,0.0,0.0,0.67,33,33,0,0,0
Brandon Ellis,7,25,11,16.43,0.43,0.57,0.43,57,29,14,43,0
Brayden Fiorini,12,35,8,17.67,0.25,0.5,0.67,67,42,8,25,0
Charlie Ballard,14,24,6,14.07,0.07,0.0,0.64,43,7,0,7,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0
Darcy Macpherson,14,31,12,21.57,0.0,0.07,0.79,86,64,29,0,0
David Swallow,14,25,10,17.71,0.64,0.21,0.93,86,36,7,43,14
Elijah Hollands,4,15,10,13.0,0.25,0.25,0.25,50,0,0,25,0
Hewago Paul Oea,4,13,8,10.5,0.0,0.25,0.5,0,0,0,0,0
Jack Lukosius,14,20,8,13.79,1.86,1.43,0.93,43,7,0,79,43
James Tsitas,2,4,2,3.0,1.0,0.0,0.0,0,0,0,50,50
Jarrod Witts,12,25,6,13.92,0.33,0.17,1.92,42,8,8,33,0
Joel Jeffrey,7,15,5,9.57,0.71,0.57,0.57,14,0,0,71,0
Jy Farrar,4,18,4,11.5,0.0,0.25,1.5,25,0,0,0,0
Lachie Weller,7,30,12,23.0,0.0,0.14,0.14,86,71,43,0,0
Levi Casboult,11,18,4,10.36,0.91,0.73,0.45,9,0,0,55,36
Mabior Chol,6,13,3,7.0,1.17,1.0,0.5,0,0,0,67,50
Mac Andrew,8,16,7,11.12,0.0,0.0,0.38,25,0,0,0,0
Malcolm Rosas,13,15,3,9.08,0.85,1.0,0.62,8,0,0,46,15
Matt Rowell,14,29,12,21.21,0.21,0.14,2.0,93,57,29,21,0
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,12,19,8,13.83,0.83,0.5,0.75,42,0,0,67,17
Noah Anderson,14,38,17,27.0,0.79,0.64,0.57,100,86,79,57,21
Rory Atkins,8,25,6,17.0,0.0,0.25,0.38,75,50,12,0,0
Sam Day,2,10,2,6.0,0.5,0.5,0.5,0,0,0,50,0
Sam Flanders,5,27,7,15.4,0.4,0.0,0.4,40,20,20,20,20
Sam Collins,14,17,8,12.36,0.0,0.0,0.57,21,0,0,0,0
Sean Lemmens,6,13,7,10.17,0.0,0.17,0.67,0,0,0,0,0
Thomas Berry,6,10,1,6.67,0.0,0.33,0.67,0,0,0,0,0
Touk Miller,6,32,13,25.17,0.0,0.0,1.5,83,83,67,0,0
Wil Powell,12,28,13,19.08,0.0,0.17,0.83,92,33,17,0,0
