Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,14,33,24,29.0,0.4,0.6,2.8,100,100,80,20,20
Adam Saad,13,22,14,17.6,0.0,0.0,0.4,80,20,0,0,0
Alex Cincotta,7,20,9,13.6,0.2,0.4,0.6,40,20,0,20,0
Blake Acres,13,25,17,20.6,0.2,0.0,0.4,100,60,20,20,0
Brodie Kemp,6,20,14,16.2,0.0,0.0,0.2,60,20,0,0,0
Charlie Curnow,14,18,11,15.4,1.8,2.2,2.2,80,0,0,100,60
Corey Durdin,10,10,8,9.2,0.8,0.2,0.6,0,0,0,60,20
David Cuningham,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Ed Curnow,12,21,2,13.4,0.2,0.4,0.6,40,20,0,20,0
George Hewett,10,32,6,19.0,0.2,0.0,0.4,60,60,40,20,0
Harry McKay,14,14,8,10.4,1.8,1.4,1.4,0,0,0,80,60
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jack Martin,3,8,6,7.33,0.33,1.0,0.67,0,0,0,33,0
Jack Silvagni,12,14,4,11.0,0.0,1.0,0.8,0,0,0,0,0
Jacob Weitering,14,18,8,14.6,0.0,0.0,0.6,80,0,0,0,0
Jesse Motlop,12,14,8,11.0,0.4,0.6,0.8,0,0,0,20,20
Jordan Boyd,5,14,9,11.8,0.0,0.2,0.6,0,0,0,0,0
Josh Honey,5,10,5,8.0,0.4,0.6,0.2,0,0,0,40,0
Lachie Cowan,6,12,9,10.4,0.0,0.0,0.8,0,0,0,0,0
Lachie Fogarty,1,10,10,10.0,1.0,0.0,0.0,0,0,0,100,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Lewis Young,12,15,8,12.2,0.0,0.0,0.6,40,0,0,0,0
Marc Pittonet,11,13,8,10.4,0.0,0.2,1.4,0,0,0,0,0
Matthew Cottrell,6,23,11,15.8,0.6,0.4,0.8,60,20,0,40,20
Matthew Owies,9,12,5,8.8,1.0,0.6,0.6,0,0,0,60,40
Matthew Kennedy,12,27,16,21.2,0.2,0.0,0.8,100,80,20,20,0
Mitch McGovern,13,20,8,15.8,0.0,0.0,0.2,80,20,0,0,0
Nic Newman,12,23,6,17.2,0.0,0.2,0.4,80,20,0,0,0
Oliver Hollands,11,21,10,14.0,0.4,0.0,0.8,20,20,0,40,0
Paddy Dow,3,9,7,8.0,0.0,0.0,0.0,0,0,0,0,0
Patrick Cripps,14,27,19,22.8,0.6,0.2,1.2,100,60,40,20,20
Sam Docherty,12,34,25,28.8,0.0,0.4,0.4,100,100,100,0,0
Sam Walsh,10,35,22,29.2,0.2,0.4,1.6,100,100,80,20,0
Tom De Koning,9,13,8,10.6,0.6,0.2,2.0,0,0,0,40,20
Zac Fisher,8,28,14,19.8,0.2,0.8,0.6,60,60,20,20,0
