Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,5,19,12,15.2,0.0,0.0,0.8,60,0,0,0,0
Alex Neal Bullen,14,18,11,14.2,0.4,0.2,1.2,40,0,0,40,0
Angus Brayshaw,14,27,15,23.0,0.0,0.2,0.6,100,80,40,0,0
Bailey Laurie,2,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Bayley Fritsch,13,18,9,12.2,2.2,2.0,1.0,20,0,0,100,100
Ben Brown,3,15,2,10.67,3.0,0.33,0.67,67,0,0,100,67
Brodie Grundy,14,19,11,13.6,0.6,0.6,1.2,20,0,0,60,0
Charlie Spargo,11,15,2,9.6,0.4,0.6,0.6,20,0,0,40,0
Christian Petracca,14,33,22,29.0,0.6,1.2,0.6,100,100,80,60,0
Christian Salem,5,24,18,20.6,0.0,0.0,0.6,100,60,0,0,0
Clayton Oliver,10,37,28,32.0,0.4,0.0,1.6,100,100,100,40,0
Daniel Turner,1,9,9,9.0,0.0,0.0,1.0,0,0,0,0,0
Ed Langdon,14,25,14,18.8,0.0,0.4,1.0,80,40,20,0,0
Harrison Petty,9,17,5,9.4,0.6,0.2,0.6,20,0,0,40,20
Jack Viney,13,32,16,22.2,0.4,0.2,0.6,100,60,40,40,0
Jacob van Rooyen,12,16,7,10.2,1.0,0.4,0.8,20,0,0,100,0
Jake Bowey,12,18,10,15.2,0.2,0.2,0.6,60,0,0,20,0
Jake Lever,13,17,7,11.8,0.0,0.0,0.4,40,0,0,0,0
Jake Melksham,4,10,2,5.25,1.0,0.5,0.0,0,0,0,75,25
James Harmes,6,14,3,7.6,0.2,0.6,0.6,0,0,0,20,0
James Jordon,11,10,3,7.0,0.0,0.0,0.6,0,0,0,0,0
Joel Smith,3,11,5,8.67,1.0,1.0,0.67,0,0,0,67,33
Josh Schache,1,9,9,9.0,1.0,0.0,1.0,0,0,0,100,0
Judd McVee,14,17,6,11.8,0.0,0.0,0.0,40,0,0,0,0
Kade Chandler,14,14,6,11.4,0.2,1.6,0.8,0,0,0,20,0
Kysaiah Pickett,12,12,6,8.2,1.2,1.2,0.2,0,0,0,80,40
Lachie Hunter,13,28,17,22.8,0.2,0.0,0.2,100,80,20,20,0
Max Gawn,11,16,12,14.6,0.2,0.4,1.0,80,0,0,20,0
Michael Hibberd,9,15,5,11.2,0.0,0.0,0.6,40,0,0,0,0
Steven May,12,23,8,16.6,0.0,0.0,0.6,80,20,0,0,0
Tom McDonald,6,16,6,9.2,1.6,0.4,0.6,20,0,0,80,40
Tom Sparrow,13,19,13,16.8,0.4,0.0,0.8,80,0,0,40,0
Trent Rivers,14,25,13,20.8,0.0,0.4,1.0,80,60,20,0,0
