Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,13,18,13,16.0,0.0,0.0,1.0,80,0,0,0,0
Brandon Zerk-Thatcher,14,11,5,8.4,0.0,0.0,0.6,0,0,0,0,0
Charlie Dixon,10,15,1,9.4,1.0,0.6,0.8,20,0,0,40,20
Connor Rozee,11,28,11,17.4,0.2,0.4,1.0,60,20,20,20,0
Dan Houston,14,35,20,24.0,0.6,0.4,1.2,100,100,20,20,20
Dante Visentini,2,10,8,9.0,0.0,0.0,1.0,0,0,0,0,0
Darcy Byrne-Jones,14,15,7,10.8,1.0,1.0,0.6,20,0,0,60,40
Dylan Williams,4,12,6,9.5,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,14,13,8,10.4,0.2,0.0,0.6,0,0,0,20,0
Francis Evans,6,11,1,7.2,0.4,0.4,0.6,0,0,0,40,0
Ivan Soldo,8,13,6,9.0,0.4,0.4,1.0,0,0,0,40,0
Jackson Mead,14,23,15,18.6,0.0,0.0,1.0,100,40,0,0,0
Jase Burgoyne,12,23,14,18.0,0.2,0.0,1.0,80,40,0,20,0
Jason Horne-Francis,12,27,18,22.4,0.8,1.6,2.8,100,80,20,60,20
Jed McEntee,12,17,6,9.2,0.6,0.4,0.0,20,0,0,60,0
Jeremy Finlayson,9,16,5,11.0,0.6,1.2,0.2,20,0,0,60,0
Jordon Sweet,5,13,5,9.2,0.0,0.2,0.8,0,0,0,0,0
Josh Sinn,3,16,10,13.33,0.33,0.0,0.33,33,0,0,33,0
Kane Farrell,14,30,14,22.4,0.2,0.2,0.6,80,60,40,20,0
Lachie Jones,10,17,6,12.2,0.0,0.0,1.0,40,0,0,0,0
Miles Bergman,14,22,7,14.0,0.0,0.4,0.2,40,20,0,0,0
Mitch Georgiades,11,15,4,9.8,2.4,1.0,0.4,20,0,0,80,80
Ollie Wines,13,26,7,18.8,0.4,0.0,0.6,80,40,40,20,20
Ollie Lord,2,7,4,5.5,1.0,0.5,0.5,0,0,0,50,50
Quinton Narkle,2,10,4,7.0,0.0,1.0,0.0,0,0,0,0,0
Ryan Burton,11,23,9,14.0,0.0,0.0,0.6,40,20,0,0,0
Sam Powell-Pepper,3,11,7,9.33,1.0,1.33,0.67,0,0,0,67,33
Todd Marshall,14,13,6,9.8,1.8,1.0,0.4,0,0,0,100,20
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,11,26,17,21.0,0.0,0.8,0.2,100,40,40,0,0
Trent McKenzie,19,9,3,6.6,0.0,0.0,0.0,0,0,0,0,0
Willem Drew,14,21,9,16.0,0.0,0.0,0.6,80,20,0,0,0
Willie Rioli,11,14,0,9.8,2.0,1.2,0.8,0,0,0,80,60
Zak Butters,14,35,17,25.2,0.6,0.4,0.8,100,60,40,40,20
