Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,5,9,4,7.0,0.33,0.0,0.33,0,0,0,33,0
Anthony Caminiti,10,12,7,9.67,0.33,0.0,0.67,0,0,0,33,0
Arie Schoenmaker,1,18,18,18.0,0.0,0.0,1.0,100,0,0,0,0
Ben Paton,2,14,4,9.0,0.0,0.0,1.0,0,0,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,14,18,15,17.0,0.0,0.0,0.33,100,0,0,0,0
Callum Wilkie,14,18,10,15.33,0.0,0.0,0.67,67,0,0,0,0
Cooper Sharman,9,6,1,3.33,0.33,0.67,0.0,0,0,0,33,0
Dan Butler,7,11,2,7.67,1.67,0.67,1.0,0,0,0,67,67
Darcy Wilson,14,18,10,14.0,0.33,0.33,2.0,33,0,0,33,0
Dougal Howard,7,13,3,7.0,0.0,0.0,0.0,0,0,0,0,0
Hugo Garcia,5,11,6,8.0,0.0,0.33,0.33,0,0,0,0,0
Hunter Clark,3,18,16,17.0,0.0,0.0,1.0,100,0,0,0,0
Jack Hayes,2,17,2,9.5,1.0,0.5,2.5,50,0,0,50,50
Jack Higgins,11,17,13,14.67,2.67,1.0,0.67,33,0,0,100,67
Jack Sinclair,13,32,23,28.67,0.33,0.33,0.0,100,100,67,33,0
Jack Steele,14,20,16,17.67,0.0,0.33,1.0,100,33,0,0,0
Jimmy Webster,6,15,7,11.67,0.0,0.0,0.33,33,0,0,0,0
Josh Battle,14,22,10,16.67,0.0,0.33,0.0,67,33,0,0,0
Lance Collard,3,4,0,2.33,0.0,0.0,0.33,0,0,0,0,0
Liam Henry,8,15,13,14.33,1.0,1.0,0.67,67,0,0,67,33
Liam Stocker,10,12,7,10.0,0.0,0.0,1.33,0,0,0,0,0
Marcus Windhager,13,18,9,14.0,0.0,0.0,2.0,67,0,0,0,0
Mason Wood,9,22,21,21.67,1.67,0.67,0.33,100,100,0,67,33
Mattaes Phillipou,9,11,4,6.67,0.67,0.67,0.67,0,0,0,67,0
Max King,11,10,8,8.67,2.33,0.33,1.0,0,0,0,100,100
Mitch Owens,14,14,8,11.0,0.67,1.0,1.67,0,0,0,33,33
Nasiah Wanganeen-Milera,13,30,24,27.33,0.0,1.0,0.67,100,100,67,0,0
Paddy Dow,5,22,13,18.33,0.0,0.67,1.33,67,67,0,0,0
Riley Bonner,14,17,12,15.0,0.0,0.67,0.0,67,0,0,0,0
Rowan Marshall,14,20,18,19.0,0.0,0.0,1.67,100,33,0,0,0
Ryan Byrnes,8,20,4,12.67,0.0,0.0,0.33,33,33,0,0,0
Sebastian Ross,13,10,6,8.0,0.33,0.0,0.33,0,0,0,33,0
Tim Membrey,11,12,9,10.33,0.67,0.33,0.0,0,0,0,67,0
Tom Campbell,1,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
Zaine Cordy,8,9,2,5.0,0.33,0.0,0.0,0,0,0,33,0
Zak Jones,6,9,6,7.33,0.33,0.0,0.0,0,0,0,33,0
