Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,3,16,9,12.33,0.0,0.0,0.33,33,0,0,0,0
Braeden Campbell,12,9,2,6.33,0.0,0.0,0.0,0,0,0,0,0
Brodie Grundy,14,31,24,27.67,0.0,0.67,1.33,100,100,67,0,0
Caiden Cleary,1,4,4,4.0,1.0,0.0,0.0,0,0,0,100,0
Caleb Mitchell,2,10,0,5.0,0.0,0.0,0.0,0,0,0,0,0
Chad Warner,14,26,20,22.0,1.67,1.0,0.67,100,100,33,100,67
Corey Warner,2,11,5,8.0,0.0,2.0,0.5,0,0,0,0,0
Dane Rampe,11,13,6,9.0,0.0,0.0,0.33,0,0,0,0,0
Errol Gulden,14,41,35,37.67,0.67,1.33,1.0,100,100,100,67,0
Harry Cunningham,13,12,9,10.33,0.0,0.0,0.0,0,0,0,0,0
Hayden McLean,14,9,8,8.33,0.67,0.33,2.0,0,0,0,33,33
Isaac Heeney,14,29,23,26.0,1.33,1.0,2.0,100,100,67,67,67
Jake Lloyd,14,21,16,18.33,0.67,0.0,0.33,100,33,0,67,0
James Jordon,14,20,12,15.67,0.67,1.67,0.67,67,33,0,67,0
James Rowbottom,14,32,19,24.0,0.0,0.33,3.0,100,67,33,0,0
Joel Amartey,14,10,6,8.33,4.0,1.33,0.67,0,0,0,67,67
Justin McInerney,14,24,18,21.33,0.67,0.67,1.67,100,67,0,67,0
Lewis Melican,14,7,3,5.33,0.0,0.0,0.0,0,0,0,0,0
Logan McDonald,14,11,10,10.33,0.67,0.33,0.33,0,0,0,67,0
Matt Roberts,12,10,3,5.67,0.0,0.0,0.0,0,0,0,0,0
Nick Blakey,14,22,16,18.0,0.0,0.0,0.33,100,33,0,0,0
Oliver Florent,14,21,16,18.67,0.0,0.0,0.67,100,33,0,0,0
Robbie Fox,9,8,3,5.33,0.0,0.0,0.67,0,0,0,0,0
Sam Wicks,12,17,5,10.33,0.0,0.0,0.0,33,0,0,0,0
Taylor Adams,10,23,22,22.33,1.0,0.33,1.33,100,100,0,67,33
Tom McCartin,11,10,7,8.67,0.0,0.0,0.33,0,0,0,0,0
Tom Papley,14,19,15,17.67,2.33,1.67,0.67,100,0,0,100,67
Will Hayward,14,14,12,13.33,1.0,0.0,0.33,0,0,0,67,33
