Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,11,20,16,18.67,0.33,0.0,0.33,100,67,0,33,0
Andrew Gaff,3,21,4,14.67,0.33,0.0,0.33,67,33,0,33,0
Bailey J. Williams,14,14,5,9.0,0.33,0.0,1.33,0,0,0,33,0
Brady Hough,14,15,13,14.0,0.0,0.0,0.0,33,0,0,0,0
Callum Jamieson,4,12,11,11.33,0.0,0.0,1.67,0,0,0,0,0
Campbell Chesser,14,14,11,12.67,0.33,0.0,0.0,0,0,0,33,0
Dom Sheed,8,20,6,14.0,0.0,0.33,1.67,67,33,0,0,0
Elijah Hewett,14,20,12,17.0,0.0,0.33,0.33,67,33,0,0,0
Elliot Yeo,12,27,20,23.33,0.67,1.0,2.0,100,100,33,67,0
Harley Reid,11,21,14,18.33,1.0,0.0,3.67,67,67,0,67,33
Harry Barnett,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Harry Edwards,3,9,6,7.33,0.0,0.0,0.33,0,0,0,0,0
Harvey Johnston,2,8,4,6.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,14,10,7,8.67,1.67,1.33,1.0,0,0,0,100,67
Jack Petruccelle,12,14,8,11.0,0.67,0.33,0.33,0,0,0,33,33
Jack Williams,10,8,2,5.67,0.33,0.33,0.67,0,0,0,33,0
Jai Culley,1,14,14,14.0,0.0,1.0,0.0,0,0,0,0,0
Jake Waterman,12,16,5,11.33,2.33,1.33,1.0,33,0,0,100,67
Jamaine Jones,7,12,9,11.0,0.0,0.0,1.33,0,0,0,0,0
Jamie Cripps,14,21,14,18.0,2.0,2.0,1.33,67,33,0,100,67
Jayden Hunt,11,11,7,9.67,0.33,0.0,0.33,0,0,0,33,0
Jeremy McGovern,14,23,20,21.33,0.0,0.33,0.67,100,100,0,0,0
Josh Rotham,9,11,4,7.33,0.0,0.0,0.33,0,0,0,0,0
Liam Duggan,14,25,18,20.67,0.0,0.0,0.67,100,33,33,0,0
Liam Ryan,8,19,11,13.67,1.0,1.0,1.33,33,0,0,33,33
Loch Rawlinson,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Luke Edwards,9,17,6,11.33,0.33,0.33,0.0,33,0,0,33,0
Matt Flynn,3,12,6,8.67,0.33,0.33,0.67,0,0,0,33,0
Noah Long,7,13,8,10.0,0.33,0.33,0.67,0,0,0,33,0
Oscar Allen,2,13,9,11.0,1.0,3.5,0.5,0,0,0,50,50
Reuben Ginbey,14,20,12,16.33,0.0,0.0,1.67,67,33,0,0,0
Rhett Bazzo,11,13,4,8.33,0.0,0.0,0.67,0,0,0,0,0
Ryan Maric,12,13,6,8.67,0.0,0.33,0.0,0,0,0,0,0
Tim Kelly,11,30,19,24.0,0.0,0.67,1.33,100,67,33,0,0
Tom Barrass,13,16,9,13.0,0.0,0.0,0.0,33,0,0,0,0
Tom Cole,14,15,8,12.0,0.0,0.0,1.0,33,0,0,0,0
Tyler Brockman,7,14,4,10.0,0.0,0.0,0.67,0,0,0,0,0
Tyrell Dewar,3,9,2,4.33,0.33,0.33,0.0,0,0,0,33,0
Zane Trew,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
