Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,11,13,5,8.18,1.18,0.55,0.73,0,0,0,82,36
Ben Paton,12,21,6,13.5,0.0,0.0,0.75,42,8,0,0,0
Brad Crouch,14,34,18,27.57,0.21,0.14,1.07,100,86,71,14,7
Bradley Hill,14,31,13,21.36,0.29,0.21,0.71,93,64,21,21,7
Callum Wilkie,14,28,8,19.93,0.0,0.07,1.0,93,57,7,0,0
Cooper Sharman,6,18,3,7.33,0.5,0.33,0.33,17,0,0,50,0
Dan Butler,14,16,6,11.0,1.57,0.71,0.93,7,0,0,79,50
Dougal Howard,14,18,8,12.93,0.0,0.0,0.43,29,0,0,0,0
Hunter Clark,11,27,1,20.64,0.27,0.18,1.0,91,73,36,27,0
Jack Bytel,5,15,3,7.0,0.2,0.2,0.4,20,0,0,20,0
Jack Higgins,14,22,8,13.43,1.86,0.64,1.07,29,7,0,86,50
Jack Sinclair,14,37,18,28.79,0.36,0.14,0.57,100,93,79,29,7
Jack Steele,11,29,14,22.73,0.18,0.09,1.18,91,82,36,18,0
Jade Gresham,13,23,7,16.23,0.92,0.69,0.69,77,23,0,62,31
Jimmy Webster,7,19,13,15.29,0.0,0.0,0.86,57,0,0,0,0
Josh Battle,14,24,8,14.79,0.07,0.0,0.64,57,7,0,7,0
Marcus Windhager,9,20,4,11.11,0.22,0.33,0.56,22,11,0,22,0
Mason Wood,14,27,16,20.71,0.71,0.36,1.29,100,57,7,57,14
Mattaes Phillipou,14,19,7,13.86,0.57,0.36,0.64,36,0,0,43,7
Mitch Owens,13,27,7,15.0,1.15,1.0,2.0,54,15,8,62,46
Nasiah Wanganeen Milera,14,30,15,22.14,0.14,0.14,0.36,100,64,29,14,0
Rowan Marshall,14,26,10,18.71,0.07,0.43,1.93,86,43,14,7,0
Ryan Byrnes,14,27,7,17.57,0.36,0.29,0.64,71,43,7,36,0
Sebastian Ross,12,30,12,21.08,0.08,0.0,0.67,75,58,33,8,0
Tim Membrey,4,12,9,11.0,0.75,1.25,0.25,0,0,0,75,0
Zaine Cordy,7,13,1,6.14,0.86,0.0,0.43,0,0,0,71,14
