Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,13,28,15,20.0,0.0,0.0,0.67,100,33,33,0,0
Andrew Gaff,14,22,13,17.0,0.33,0.67,0.33,67,33,0,33,0
Bailey J. Williams,14,20,11,15.67,0.33,0.0,2.0,67,33,0,33,0
Brady Hough,8,16,14,15.33,0.0,0.0,1.33,67,0,0,0,0
Callum Jamieson,4,17,5,12.0,0.0,0.33,1.33,33,0,0,0,0
Campbell Chesser,6,11,9,10.0,0.0,0.33,0.33,0,0,0,0,0
Connor West,9,13,1,8.0,0.0,0.67,2.0,0,0,0,0,0
Dom Sheed,10,43,17,26.67,0.33,0.67,0.33,100,67,33,33,0
Elijah Hewett,5,16,4,9.33,0.0,0.0,1.0,33,0,0,0,0
Elliot Yeo,6,30,19,25.0,0.0,0.0,2.0,100,67,67,0,0
Greg Clark,10,11,7,8.67,0.33,0.0,0.33,0,0,0,33,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,11,9,7,8.33,1.0,0.67,1.67,0,0,0,67,33
Jack Petruccelle,11,22,15,18.0,0.33,0.0,0.0,100,33,0,33,0
Jack Williams,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jai Culley,5,10,1,5.33,1.67,0.33,1.0,0,0,0,67,33
Jake Waterman,11,19,13,15.0,0.33,0.33,1.0,33,0,0,33,0
Jamaine Jones,10,30,4,15.33,0.33,0.67,1.0,33,33,33,33,0
Jamie Cripps,3,17,6,11.67,1.33,1.67,0.33,33,0,0,67,33
Jayden Hunt,14,18,10,13.67,0.0,0.0,0.33,33,0,0,0,0
Jeremy McGovern,3,22,10,17.67,0.0,0.0,1.0,67,67,0,0,0
Josh Rotham,9,13,2,9.0,0.0,0.0,0.33,0,0,0,0,0
Liam Duggan,13,35,15,27.67,0.0,0.0,0.0,100,67,67,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,9,8,3,4.67,0.0,0.0,0.0,0,0,0,0,0
Luke Foley,8,14,8,11.33,0.0,0.0,1.0,0,0,0,0,0
Luke Shuey,6,28,16,20.33,0.0,0.0,2.0,100,33,33,0,0
Noah Long,10,16,4,9.0,0.33,1.0,1.0,33,0,0,33,0
Oscar Allen,14,13,4,9.67,2.0,0.0,2.0,0,0,0,100,67
Reuben Ginbey,14,19,13,17.0,0.0,0.33,0.0,67,0,0,0,0
Rhett Bazzo,7,13,6,10.33,0.0,0.0,0.0,0,0,0,0,0
Sam Petrevski Seton,8,13,4,8.33,0.0,0.0,0.0,0,0,0,0,0
Shannon Hurn,8,27,5,18.0,0.0,0.0,0.67,67,67,33,0,0
Tim Kelly,14,29,27,27.67,1.0,0.0,0.67,100,100,100,100,0
Tom Barrass,11,13,11,11.67,0.0,0.0,0.33,0,0,0,0,0
Tom Cole,4,19,11,14.67,0.0,0.0,0.33,33,0,0,0,0
Zane Trew,3,11,9,9.67,0.0,0.0,0.0,0,0,0,0,0
