Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,13,28,7,19.08,0.08,0.0,0.85,92,38,23,8,0
Andrew Gaff,14,32,10,19.43,0.07,0.29,0.64,79,43,14,7,0
Bailey J. Williams,14,21,6,13.14,0.14,0.07,1.71,29,14,0,14,0
Brady Hough,8,21,6,13.0,0.0,0.0,1.0,38,12,0,0,0
Callum Jamieson,4,17,3,9.75,0.0,0.25,1.0,25,0,0,0,0
Campbell Chesser,6,12,5,8.83,0.0,0.5,0.33,0,0,0,0,0
Connor West,9,14,1,10.22,0.33,0.56,1.22,0,0,0,33,0
Dom Sheed,10,43,17,25.0,0.4,0.4,1.1,100,80,50,30,10
Elijah Hewett,5,16,3,9.0,0.0,0.4,0.6,20,0,0,0,0
Elliot Yeo,6,30,12,20.5,0.0,0.0,1.33,67,50,33,0,0
Greg Clark,10,19,7,12.5,0.2,0.2,0.4,30,0,0,20,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,11,14,4,9.27,1.18,1.18,1.0,0,0,0,73,36
Jack Petruccelle,11,22,1,12.0,0.55,0.18,0.91,27,9,0,55,0
Jack Williams,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jai Culley,5,14,1,8.4,1.0,0.4,0.6,0,0,0,40,20
Jake Waterman,11,23,6,14.36,1.0,0.82,1.0,36,18,0,45,18
Jamaine Jones,10,30,4,18.5,0.3,0.2,0.8,60,50,30,20,10
Jamie Cripps,3,17,6,11.67,1.33,1.67,0.33,33,0,0,67,33
Jayden Hunt,14,34,10,18.5,0.29,0.29,0.43,71,36,7,21,7
Jeremy McGovern,3,22,10,17.67,0.0,0.0,1.0,67,67,0,0,0
Josh Rotham,9,13,2,8.56,0.0,0.0,0.67,0,0,0,0,0
Liam Duggan,13,35,14,22.38,0.0,0.0,0.46,85,54,31,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,9,17,3,10.33,0.0,0.0,0.78,33,0,0,0,0
Luke Foley,8,15,8,12.25,0.0,0.0,0.75,25,0,0,0,0
Luke Shuey,6,28,9,19.5,0.17,0.33,2.33,83,50,33,17,0
Noah Long,10,18,4,10.0,0.3,0.5,0.5,20,0,0,30,0
Oscar Allen,14,15,4,10.43,2.5,0.86,1.43,7,0,0,100,86
Reuben Ginbey,14,20,9,14.64,0.07,0.14,0.57,50,7,0,7,0
Rhett Bazzo,7,13,3,8.29,0.0,0.0,0.29,0,0,0,0,0
Sam Petrevski Seton,8,22,4,12.12,0.25,0.0,0.5,25,25,0,25,0
Shannon Hurn,8,27,5,19.75,0.0,0.0,0.38,75,62,38,0,0
Tim Kelly,14,36,22,28.5,0.57,0.21,0.86,100,100,86,50,7
Tom Barrass,11,21,4,12.73,0.0,0.0,0.64,36,9,0,0,0
Tom Cole,4,20,11,16.0,0.0,0.0,0.25,50,25,0,0,0
Zane Trew,3,11,9,9.67,0.0,0.0,0.0,0,0,0,0,0
