Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,14,12,4,8.4,0.0,0.0,0.6,0,0,0,0,0
Andrew Brayshaw,14,33,29,29.8,0.6,0.4,1.0,100,100,100,60,0
Bailey Banfield,12,20,2,11.6,0.8,0.8,0.4,40,20,0,60,20
Brandon Walker,11,15,8,10.8,0.0,0.0,0.4,20,0,0,0,0
Brennan Cox,14,20,13,15.8,0.0,0.0,0.0,40,20,0,0,0
Caleb Serong,14,32,26,29.8,0.8,0.4,1.4,100,100,100,80,0
Corey Wagner,2,18,12,15.0,0.0,0.0,0.0,50,0,0,0,0
Ethan Hughes,14,17,12,14.2,0.0,0.2,0.2,40,0,0,0,0
Hayden Young,14,27,17,21.4,0.0,0.0,0.8,100,80,20,0,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0
Jaeger O'Meara,13,27,15,22.6,0.0,0.2,1.6,100,80,40,0,0
James Aish,12,26,12,21.4,0.4,0.2,0.8,80,80,20,40,0
Jordan Clark,14,22,14,16.8,0.0,0.0,0.8,60,20,0,0,0
Josh Corbett,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Josh Treacy,8,13,4,8.2,0.8,0.4,0.2,0,0,0,60,20
Jye Amiss,13,14,5,9.0,2.4,0.2,1.0,0,0,0,80,80
Lachie Schultz,14,20,10,14.8,0.6,0.4,0.6,60,20,0,60,0
Liam Henry,7,32,10,16.6,0.2,0.4,0.4,40,20,20,20,0
Luke Jackson,14,23,15,18.2,0.8,1.2,0.8,100,20,0,40,20
Luke Ryan,14,31,16,22.6,0.0,0.0,0.6,100,80,20,0,0
Matt Taberner,4,11,7,9.0,0.75,0.0,0.25,0,0,0,50,25
Michael Walters,12,12,3,8.2,1.6,0.0,0.4,0,0,0,80,60
Nat Fyfe,8,20,15,17.6,0.4,0.2,0.4,100,20,0,40,0
Nathan Wilson,4,21,10,15.25,0.0,0.0,0.5,50,25,0,0,0
Neil Erasmus,5,16,4,11.4,0.0,0.0,1.0,40,0,0,0,0
Sam Sturt,7,9,3,6.2,0.6,0.8,0.4,0,0,0,40,20
Sam Switkowski,13,18,11,14.8,0.4,0.8,1.4,60,0,0,40,0
Sean Darcy,12,18,6,11.4,0.2,0.2,1.0,20,0,0,20,0
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
