Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,14,15,6,11.2,1.9,1.4,0.8,10,0,0,100,50
Adam Treloar,10,35,23,30.1,0.6,0.3,1.1,100,100,80,50,10
Alex Keath,10,21,2,12.1,0.0,0.0,0.5,40,10,0,0,0
Anthony Scott,14,13,8,10.8,0.9,0.3,0.7,0,0,0,60,20
Arthur Jones,11,14,0,8.7,0.4,0.6,0.8,0,0,0,30,10
Bailey Dale,14,36,15,25.1,0.0,0.1,0.4,100,70,70,0,0
Bailey Smith,12,37,19,26.0,0.3,0.5,0.2,100,80,40,30,0
Bailey Williams,14,24,11,18.8,0.7,0.5,0.6,80,50,0,40,20
Caleb Daniel,14,35,20,25.7,0.7,0.1,0.7,100,100,50,70,0
Cody Weightman,10,14,3,10.4,1.9,1.1,1.4,0,0,0,80,40
Ed Richards,12,25,14,19.4,0.1,0.2,0.5,90,40,20,10,0
Hayden Crozier,3,22,5,12.33,0.0,0.33,1.33,33,33,0,0,0
Jack Macrae,14,33,22,26.7,0.4,0.1,0.9,100,100,70,30,10
Jamarra Ugle Hagan,14,16,9,11.7,1.0,1.5,0.9,10,0,0,60,30
Jason Johannisen,9,28,6,19.11,0.44,0.11,0.33,78,56,22,44,0
Josh Bruce,6,17,8,12.33,0.0,0.0,0.67,17,0,0,0,0
Lachlan McNeil,8,13,0,6.12,0.12,0.38,0.25,0,0,0,12,0
Laitham Vandermeer,2,15,10,12.5,0.0,0.5,0.0,50,0,0,0,0
Liam Jones,14,15,0,8.6,0.0,0.0,0.2,10,0,0,0,0
Marcus Bontempelli,14,32,19,27.3,0.9,0.6,1.2,100,90,70,60,20
Mitch Hannan,5,14,3,7.2,0.4,0.8,0.8,0,0,0,40,0
Oskar Baker,14,22,4,15.1,0.0,0.4,0.3,70,30,0,0,0
Rhylee West,3,13,4,8.67,0.33,0.0,1.0,0,0,0,33,0
Riley Garcia,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0
Robbie McComb,3,8,2,4.33,0.33,0.0,0.33,0,0,0,33,0
Rory Lobb,13,14,6,9.5,1.0,0.8,1.4,0,0,0,70,30
Ryan Gardner,5,16,4,10.6,0.2,0.0,1.0,20,0,0,20,0
Sam Darcy,2,6,2,4.0,0.0,0.5,0.0,0,0,0,0,0
Taylor Duryea,12,16,7,11.8,0.0,0.1,1.1,10,0,0,0,0
Tom Liberatore,13,33,17,26.9,0.5,0.7,1.2,100,90,80,40,10
Tim English,14,27,11,19.9,0.5,0.4,1.7,90,60,10,50,0
