Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Ryan,1,2,2,2.0,1.0,0.0,0.0,0,0,0,100,0
Brandon Starcevich,11,19,10,11.8,0.2,0.0,0.4,20,0,0,20,0
Callum Ah Chee,14,20,10,13.0,0.8,1.0,0.6,20,20,0,60,20
Cam Rayner,15,20,7,13.2,1.0,1.2,1.0,40,20,0,80,20
Charlie Cameron,15,12,9,9.8,1.2,1.2,0.4,0,0,0,80,40
Conor McKenna,10,20,7,16.0,0.0,0.4,0.2,80,20,0,0,0
Darcy Fort,2,11,10,10.5,0.5,0.5,1.0,0,0,0,50,0
Darcy Gardiner,7,13,3,8.4,0.6,0.4,1.0,0,0,0,40,20
Darcy Wilmot,15,25,18,21.6,0.0,0.0,0.8,100,60,20,0,0
Darragh Joyce,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
Dayne Zorko,15,30,19,25.2,0.0,0.2,0.8,100,80,60,0,0
Deven Robertson,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Eric Hipwood,14,20,9,14.8,3.0,1.4,1.0,60,20,0,100,60
Harris Andrews,15,15,9,12.0,0.0,0.0,1.0,20,0,0,0,0
Harry Sharp,4,18,2,11.25,0.5,0.25,0.0,25,0,0,50,0
Hugh McCluggage,15,28,18,23.2,1.0,0.6,1.6,100,80,40,60,40
Jack Payne,13,16,6,11.8,0.0,0.0,0.4,40,0,0,0,0
James Tunstill,3,11,4,6.67,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,15,24,17,21.0,0.4,0.0,1.6,100,80,0,40,0
Jarryd Lyons,3,25,11,18.33,0.0,0.0,1.0,67,33,33,0,0
Jaspa Fletcher,15,17,7,13.8,0.0,0.4,0.0,60,0,0,0,0
Jaxon Prior,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Joe Daniher,15,21,14,17.8,2.8,1.8,0.6,80,40,0,100,100
Josh Dunkley,15,32,23,27.2,0.2,0.2,1.6,100,100,60,20,0
Kai Lohmann,15,18,8,11.8,1.2,1.0,0.4,20,0,0,80,40
Keidean Coleman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Lachie Neale,14,38,20,30.6,0.4,0.0,2.0,100,100,80,20,20
Lincoln McCarthy,8,17,0,10.6,0.8,0.8,0.4,20,0,0,60,20
Logan Morris,8,12,1,7.8,1.6,0.2,0.4,0,0,0,80,60
Noah Answerth,11,12,0,5.8,0.0,0.0,0.4,0,0,0,0,0
Oscar McInerney,14,18,6,13.2,0.8,0.4,2.6,60,0,0,40,20
Ryan Lester,15,21,11,15.8,0.0,0.0,1.0,60,20,0,0,0
Shadeau Brain,3,8,2,4.67,0.0,0.0,0.0,0,0,0,0,0
Will Ashcroft,1,18,18,18.0,0.0,2.0,0.0,100,0,0,0,0
Zac Bailey,10,26,10,15.4,1.0,0.6,0.2,40,20,20,60,40
