Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Josh Dunkley,22,12/08/2023,Crows,Win 99-93,16,0,0
2023,Josh Dunkley,11,28/05/2023,Crows,Loss 78-95,29,0,0
2022,Josh Dunkley,6,23/04/2022,Crows,Loss 62-63,28,1,0
2021,Josh Dunkley,20,31/07/2021,Crows,Win 105-56,13,0,0
2023,Lachie Neale,22,12/08/2023,Crows,Win 99-93,23,0,0
2023,Lachie Neale,11,28/05/2023,Crows,Loss 78-95,26,0,0
2022,Lachie Neale,9,14/05/2022,Crows,Win 102-66,36,1,0
2023,Hugh McCluggage,22,12/08/2023,Crows,Win 99-93,28,2,0
2023,Hugh McCluggage,11,28/05/2023,Crows,Loss 78-95,16,1,1
2022,Hugh McCluggage,9,14/05/2022,Crows,Win 102-66,22,0,1
2021,Hugh McCluggage,16,03/07/2021,Crows,Win 111-59,23,1,0
2023,Dayne Zorko,22,12/08/2023,Crows,Win 99-93,19,0,0
2023,Dayne Zorko,11,28/05/2023,Crows,Loss 78-95,22,1,2
2022,Dayne Zorko,9,14/05/2022,Crows,Win 102-66,26,2,0
2021,Dayne Zorko,16,03/07/2021,Crows,Win 111-59,12,2,0
2023,Will Ashcroft,11,28/05/2023,Crows,Loss 78-95,17,0,1
2023,Oscar McInerney,22,12/08/2023,Crows,Win 99-93,9,0,0
2023,Oscar McInerney,11,28/05/2023,Crows,Loss 78-95,13,0,0
2022,Oscar McInerney,9,14/05/2022,Crows,Win 102-66,11,1,0
2021,Oscar McInerney,16,03/07/2021,Crows,Win 111-59,16,0,0
2023,Joe Daniher,22,12/08/2023,Crows,Win 99-93,11,1,0
2023,Joe Daniher,11,28/05/2023,Crows,Loss 78-95,8,2,2
2021,Joe Daniher,16,03/07/2021,Crows,Win 111-59,13,2,1
2023,Jarrod Berry,22,12/08/2023,Crows,Win 99-93,19,0,0
2023,Jarrod Berry,11,28/05/2023,Crows,Loss 78-95,11,0,0
2022,Jarrod Berry,9,14/05/2022,Crows,Win 102-66,7,1,0
2021,Jarrod Berry,16,03/07/2021,Crows,Win 111-59,4,0,0
2023,Zac Bailey,22,12/08/2023,Crows,Win 99-93,18,2,0
2023,Zac Bailey,11,28/05/2023,Crows,Loss 78-95,25,0,2
2022,Zac Bailey,9,14/05/2022,Crows,Win 102-66,19,3,0
2021,Zac Bailey,16,03/07/2021,Crows,Win 111-59,26,3,1
2023,Keidean Coleman,11,28/05/2023,Crows,Loss 78-95,18,0,0
2022,Keidean Coleman,9,14/05/2022,Crows,Win 102-66,16,1,0
2021,Keidean Coleman,16,03/07/2021,Crows,Win 111-59,6,0,1
2023,Harris Andrews,22,12/08/2023,Crows,Win 99-93,16,1,0
2023,Harris Andrews,11,28/05/2023,Crows,Loss 78-95,5,0,0
2022,Harris Andrews,9,14/05/2022,Crows,Win 102-66,12,0,0
2021,Harris Andrews,16,03/07/2021,Crows,Win 111-59,16,0,0
2023,Conor McKenna,22,12/08/2023,Crows,Win 99-93,15,0,0
2023,Conor McKenna,11,28/05/2023,Crows,Loss 78-95,14,0,0
2022,Conor McKenna,8,26/07/2022,Crows,Win 62-59,14,0,0
2021,Conor McKenna,8,26/07/2021,Crows,Win 62-59,14,0,0
2023,Cam Rayner,22,12/08/2023,Crows,Win 99-93,12,1,1
2023,Cam Rayner,11,28/05/2023,Crows,Loss 78-95,15,1,1
2022,Cam Rayner,9,14/05/2022,Crows,Win 102-66,14,1,0
2023,Charlie Cameron,22,12/08/2023,Crows,Win 99-93,11,3,2
2023,Charlie Cameron,11,28/05/2023,Crows,Loss 78-95,8,4,0
