Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,14,29,15,21.8,0.1,0.0,0.7,100,60,40,10,0
Andrew Gaff,15,32,10,17.8,0.1,0.3,0.4,70,30,10,10,0
Bailey J. Williams,15,21,6,13.8,0.3,0.1,1.7,30,20,0,30,0
Brady Hough,9,21,6,12.56,0.0,0.0,1.0,33,11,0,0,0
Callum Jamieson,4,17,3,9.75,0.0,0.25,1.0,25,0,0,0,0
Campbell Chesser,7,13,5,9.43,0.0,0.43,0.29,0,0,0,0,0
Connor West,9,14,1,10.22,0.33,0.56,1.22,0,0,0,33,0
Dom Sheed,11,43,17,25.0,0.4,0.4,1.0,100,80,50,30,10
Elijah Hewett,6,16,3,9.33,0.33,0.33,0.5,17,0,0,17,17
Elliot Yeo,6,30,12,20.5,0.0,0.0,1.33,67,50,33,0,0
Greg Clark,10,19,7,12.5,0.2,0.2,0.4,30,0,0,20,0
Harry Barnett,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,12,12,4,8.2,1.2,1.0,1.0,0,0,0,70,40
Jack Petruccelle,12,22,8,13.7,0.6,0.3,0.9,40,10,0,60,0
Jack Williams,2,8,2,5.0,0.5,0.5,0.0,0,0,0,50,0
Jai Culley,5,14,1,8.4,1.0,0.4,0.6,0,0,0,40,20
Jake Waterman,11,23,6,14.2,0.7,0.7,1.0,30,20,0,40,10
Jamaine Jones,10,30,4,18.5,0.3,0.2,0.8,60,50,30,20,10
Jamie Cripps,4,17,6,11.25,1.25,1.5,0.25,25,0,0,75,25
Jayden Hunt,15,34,10,18.5,0.0,0.2,0.4,70,20,10,0,0
Jeremy McGovern,3,22,10,17.67,0.0,0.0,1.0,67,67,0,0,0
Josh Rotham,9,13,2,8.56,0.0,0.0,0.67,0,0,0,0,0
Liam Duggan,14,35,14,24.9,0.0,0.0,0.5,90,80,50,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,9,17,3,10.33,0.0,0.0,0.78,33,0,0,0,0
Luke Foley,8,15,8,12.25,0.0,0.0,0.75,25,0,0,0,0
Luke Shuey,7,28,9,20.71,0.14,0.29,2.43,86,57,43,14,0
Noah Long,11,18,4,10.5,0.3,0.5,0.6,30,0,0,30,0
Oscar Allen,15,15,4,9.5,2.3,0.3,1.4,10,0,0,100,80
Reuben Ginbey,15,19,10,14.3,0.0,0.1,0.6,40,0,0,0,0
Rhett Bazzo,8,13,3,8.75,0.0,0.0,0.25,0,0,0,0,0
Sam Petrevski Seton,8,22,4,12.12,0.25,0.0,0.5,25,25,0,25,0
Shannon Hurn,9,30,5,20.89,0.0,0.0,0.33,78,67,44,0,0
Tim Kelly,14,34,22,27.6,0.4,0.1,1.0,100,100,90,40,0
Tom Barrass,12,21,4,13.4,0.0,0.0,0.8,40,20,0,0,0
Tom Cole,4,20,11,16.0,0.0,0.0,0.25,50,25,0,0,0
Zane Trew,3,11,9,9.67,0.0,0.0,0.0,0,0,0,0,0
