Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,15,39,20,29.4,0.7,0.3,2.1,100,100,80,50,20
Adam Saad,14,25,14,20.0,0.0,0.0,0.3,90,50,10,0,0
Alex Cincotta,8,24,9,15.0,0.12,0.25,0.5,50,25,0,12,0
Blake Acres,14,36,17,24.1,0.3,0.1,0.6,100,70,40,30,0
Brodie Kemp,7,22,14,17.43,0.14,0.0,0.14,71,29,0,14,0
Charlie Curnow,15,18,10,14.6,2.7,2.4,1.9,60,0,0,100,70
Corey Durdin,10,11,7,8.8,1.0,0.6,0.5,0,0,0,80,20
David Cuningham,2,16,11,13.5,1.0,0.0,0.5,50,0,0,50,50
Ed Curnow,13,23,2,14.4,0.1,0.4,0.3,60,20,0,10,0
George Hewett,11,32,6,18.1,0.1,0.0,0.5,70,50,30,10,0
Harry McKay,15,19,6,12.2,1.5,1.5,1.7,30,0,0,80,50
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jack Martin,4,12,6,8.5,1.0,1.0,0.75,0,0,0,50,25
Jack Silvagni,13,18,4,13.6,0.7,0.9,1.1,40,0,0,40,20
Jacob Weitering,15,22,8,15.4,0.0,0.0,0.8,70,10,0,0,0
Jesse Motlop,12,17,5,10.3,0.9,0.4,1.0,10,0,0,50,40
Jordan Boyd,6,14,9,12.17,0.0,0.17,0.5,0,0,0,0,0
Josh Honey,5,10,5,8.0,0.4,0.6,0.2,0,0,0,40,0
Lachie Cowan,6,12,7,9.83,0.0,0.0,0.83,0,0,0,0,0
Lachie Fogarty,2,18,10,14.0,1.0,0.0,0.0,50,0,0,100,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Lewis Young,13,22,8,13.6,0.0,0.1,0.5,40,10,0,0,0
Marc Pittonet,11,13,1,9.9,0.0,0.1,1.2,0,0,0,0,0
Matthew Cottrell,6,23,11,15.83,0.5,0.33,0.83,67,17,0,33,17
Matthew Owies,10,13,4,8.8,1.5,0.4,0.8,0,0,0,80,50
Matthew Kennedy,13,27,7,19.0,0.3,0.1,0.9,80,60,20,30,0
Mitch McGovern,14,20,8,15.7,0.0,0.0,0.5,70,30,0,0,0
Nic Newman,13,34,6,20.3,0.1,0.2,0.6,90,40,20,10,0
Oliver Hollands,11,22,10,15.2,0.2,0.1,1.0,40,30,0,20,0
Paddy Dow,3,9,7,8.0,0.0,0.0,0.0,0,0,0,0,0
Patrick Cripps,15,34,17,25.2,0.4,0.4,1.7,100,70,60,20,10
Sam Docherty,13,34,19,26.8,0.2,0.2,0.7,100,90,80,20,0
Sam Walsh,11,38,22,29.6,0.2,0.3,1.1,100,100,90,20,0
Tom De Koning,9,13,8,11.11,0.44,0.33,1.67,0,0,0,33,11
Zac Fisher,8,28,7,17.75,0.38,0.5,0.5,62,38,12,38,0
