Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,13,19,6,12.3,0.0,0.0,0.6,30,0,0,0,0
Daniel Rioli,15,26,19,22.7,0.0,0.0,0.2,100,90,20,0,0
Dion Prestia,6,27,7,18.67,0.17,0.17,0.5,67,50,17,17,0
Dustin Martin,12,30,7,17.8,0.8,0.5,0.2,70,40,10,50,20
Dylan Grimes,5,11,6,8.4,0.0,0.2,0.0,0,0,0,0,0
Hugo Ralphsmith,10,21,7,13.8,0.2,0.3,0.5,40,10,0,20,0
Jack Graham,8,18,7,15.75,0.0,0.12,0.38,88,0,0,0,0
Jack Ross,5,26,10,18.8,0.2,0.0,0.4,80,40,20,20,0
Jacob Hopper,4,25,23,24.0,0.5,0.0,1.25,100,100,50,25,25
Jacob Koschitzke,6,12,4,8.0,0.83,0.17,1.17,0,0,0,67,17
James Trezise,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Jayden Short,14,31,2,20.2,0.0,0.2,0.5,90,60,30,0,0
Josh Gibcus,2,9,1,5.0,0.0,0.0,1.0,0,0,0,0,0
Judson Clarke,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Kaleb Smith,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Kamdyn McIntosh,14,18,2,11.7,0.4,0.3,0.4,40,0,0,30,10
Kane McAuliffe,8,20,4,11.25,0.0,0.25,0.62,38,12,0,0,0
Liam Baker,12,31,17,22.2,0.9,0.7,1.2,100,70,20,60,20
Marlion Pickett,12,22,5,14.7,0.2,0.9,0.5,50,20,0,20,0
Matthew Coulthard,1,3,3,3.0,1.0,0.0,0.0,0,0,0,100,0
Maurice Rioli,8,17,4,9.5,0.88,0.75,0.88,12,0,0,62,25
Nathan Broad,14,19,10,14.0,0.1,0.1,0.3,50,0,0,10,0
Nick Vlastuin,15,24,14,18.7,0.0,0.0,1.4,70,50,0,0,0
Noah Balta,11,23,6,13.6,0.9,0.1,0.4,30,20,0,50,20
Noah Cumberland,6,13,3,7.0,1.0,0.33,0.5,0,0,0,50,33
Rhyan Mansell,13,13,6,10.1,0.8,0.5,0.7,0,0,0,70,10
Sam Banks,7,13,5,8.86,0.0,0.14,0.43,0,0,0,0,0
Sam Naismith,3,11,6,8.67,0.0,0.0,1.67,0,0,0,0,0
Samson Ryan,4,8,2,5.75,0.5,0.0,1.0,0,0,0,25,25
Seth Campbell,14,18,5,11.0,0.4,0.4,0.3,20,0,0,30,10
Shai Bolton,14,21,13,17.6,1.3,1.1,0.9,90,20,0,60,40
Steely Green,2,6,5,5.5,0.0,0.0,0.5,0,0,0,0,0
Tom Lynch,4,11,4,8.0,1.5,1.0,1.5,0,0,0,75,50
Thomson Dow,14,22,11,17.3,0.0,0.1,0.8,80,30,0,0,0
Tim Taranto,8,35,15,26.38,0.62,0.75,1.75,100,88,75,62,0
Toby Nankervis,14,18,11,13.8,0.1,0.3,1.8,40,0,0,10,0
Tom Brown,13,17,7,13.0,0.0,0.2,0.2,40,0,0,0,0
Tylar Young,9,14,3,9.11,0.0,0.0,0.33,0,0,0,0,0
Tyler Sonsie,11,18,6,13.1,0.4,0.5,0.5,30,0,0,40,0
