Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tom Green,24,27/08/2023,Blues,Win 105-73,35,0,0
2023,Tom Green,3,01/04/2023,Blues,Loss 64-74,34,0,0
2022,Tom Green,9,15/05/2022,Blues,Loss 75-105,27,0,1
2021,Tom Green,14,19/06/2021,Blues,Win 102-66,11,0,0
2023,Stephen Coniglio,24,27/08/2023,Blues,Win 105-73,28,2,2
2023,Stephen Coniglio,3,01/04/2023,Blues,Loss 64-74,29,0,1
2022,Stephen Coniglio,19,24/07/2022,Blues,Loss 54-90,21,2,0
2022,Stephen Coniglio,9,15/05/2022,Blues,Loss 75-105,14,0,0
2021,Stephen Coniglio,23,21/08/2021,Blues,Win 89-75,6,0,2
2023,Josh Kelly,24,27/08/2023,Blues,Win 105-73,28,0,1
2023,Josh Kelly,3,01/04/2023,Blues,Loss 64-74,30,1,0
2022,Josh Kelly,9,15/05/2022,Blues,Loss 75-105,36,1,1
2021,Josh Kelly,23,21/08/2021,Blues,Win 89-75,29,0,1
2021,Josh Kelly,14,19/06/2021,Blues,Win 102-66,25,1,1
2023,Lachie Whitfield,24,27/08/2023,Blues,Win 105-73,32,0,0
2023,Lachie Whitfield,3,01/04/2023,Blues,Loss 64-74,27,0,0
2022,Lachie Whitfield,9,15/05/2022,Blues,Loss 75-105,11,0,0
2021,Lachie Whitfield,23,21/08/2021,Blues,Win 89-75,21,0,0
2021,Lachie Whitfield,14,19/06/2021,Blues,Win 102-66,26,0,0
2023,Kieren Briggs,24,27/08/2023,Blues,Win 105-73,17,0,0
2022,Kieren Briggs,19,24/07/2022,Blues,Loss 54-90,6,1,1
2021,Kieren Briggs,23,21/08/2021,Blues,Win 89-75,13,0,0
2021,Kieren Briggs,14,19/06/2021,Blues,Win 102-66,6,1,0
2023,Toby Greene,24,27/08/2023,Blues,Win 105-73,18,4,2
2023,Toby Greene,3,01/04/2023,Blues,Loss 64-74,5,1,0
2022,Toby Greene,19,24/07/2022,Blues,Loss 54-90,15,3,2
2022,Toby Greene,9,15/05/2022,Blues,Loss 75-105,7,2,0
2021,Toby Greene,23,21/08/2021,Blues,Win 89-75,20,1,3
2021,Toby Greene,14,19/06/2021,Blues,Win 102-66,20,4,2
2023,Lachie Ash,24,27/08/2023,Blues,Win 105-73,21,0,0
2023,Lachie Ash,3,01/04/2023,Blues,Loss 64-74,30,0,0
2022,Lachie Ash,19,24/07/2022,Blues,Loss 54-90,17,0,0
2022,Lachie Ash,9,15/05/2022,Blues,Loss 75-105,19,0,0
2021,Lachie Ash,23,21/08/2021,Blues,Win 89-75,15,0,0
2023,Finn Callaghan,3,01/04/2023,Blues,Loss 64-74,13,0,0
2022,Finn Callaghan,9,15/05/2022,Blues,Loss 75-105,12,1,0
2023,Jesse Hogan,24,27/08/2023,Blues,Win 105-73,7,1,1
2023,Jesse Hogan,3,01/04/2023,Blues,Loss 64-74,9,2,0
2021,Jesse Hogan,23,21/08/2021,Blues,Win 89-75,10,3,1
2023,Harry Himmelberg,24,27/08/2023,Blues,Win 105-73,24,0,0
2023,Harry Himmelberg,3,01/04/2023,Blues,Loss 64-74,12,0,0
2022,Harry Himmelberg,19,24/07/2022,Blues,Loss 54-90,25,0,0
2022,Harry Himmelberg,9,15/05/2022,Blues,Loss 75-105,8,2,1
2021,Harry Himmelberg,23,21/08/2021,Blues,Win 89-75,10,1,0
2021,Harry Himmelberg,14,19/06/2021,Blues,Win 102-66,17,2,1
2023,Callan Ward,24,27/08/2023,Blues,Win 105-73,16,1,0
2023,Callan Ward,3,01/04/2023,Blues,Loss 64-74,19,1,1
2022,Callan Ward,19,24/07/2022,Blues,Loss 54-90,25,0,0
2022,Callan Ward,9,15/05/2022,Blues,Loss 75-105,14,1,1
2021,Callan Ward,23,21/08/2021,Blues,Win 89-75,28,2,1
2021,Callan Ward,14,19/06/2021,Blues,Win 102-66,16,0,0
2023,Harry Perryman,24,27/08/2023,Blues,Win 105-73,12,0,0
2022,Harry Perryman,9,15/05/2022,Blues,Loss 75-105,24,1,0
2021,Harry Perryman,23,21/08/2021,Blues,Win 89-75,21,1,0
2021,Harry Perryman,14,19/06/2021,Blues,Win 102-66,17,0,0
2023,Brent Daniels,24,27/08/2023,Blues,Win 105-73,23,1,0
2023,Brent Daniels,3,01/04/2023,Blues,Loss 64-74,15,2,0
2023,Isaac Cumming,24,27/08/2023,Blues,Win 105-73,9,1,0
2023,Isaac Cumming,3,01/04/2023,Blues,Loss 64-74,22,0,0
2022,Isaac Cumming,19,24/07/2022,Blues,Loss 54-90,17,0,0
2022,Isaac Cumming,9,15/05/2022,Blues,Loss 75-105,22,0,0
2021,Isaac Cumming,23,21/08/2021,Blues,Win 89-75,19,0,0
2021,Isaac Cumming,14,19/06/2021,Blues,Win 102-66,23,1,0
2023,Connor Idun,24,27/08/2023,Blues,Win 105-73,18,0,0
2023,Connor Idun,3,01/04/2023,Blues,Loss 64-74,14,0,0
2022,Connor Idun,9,15/05/2022,Blues,Loss 75-105,16,0,0
2021,Connor Idun,23,21/08/2021,Blues,Win 89-75,17,0,0
2021,Connor Idun,14,19/06/2021,Blues,Win 102-66,13,0,0
2023,Nick Haynes,24,27/08/2023,Blues,Win 105-73,6,0,0
2023,Nick Haynes,3,01/04/2023,Blues,Loss 64-74,22,0,0
2022,Nick Haynes,19,24/07/2022,Blues,Loss 54-90,15,0,0
2022,Nick Haynes,9,15/05/2022,Blues,Loss 75-105,16,0,0
2021,Nick Haynes,23,21/08/2021,Blues,Win 89-75,12,0,0
2021,Nick Haynes,14,19/06/2021,Blues,Win 102-66,22,0,1
2023,Toby Bedford,24,27/08/2023,Blues,Win 105-73,19,0,1
2022,Xavier O'Halloran,19,24/07/2022,Blues,Loss 54-90,23,0,0
2021,Xavier O'Halloran,23,21/08/2021,Blues,Win 89-75,9,1,0
2023,Jack Buckley,24,27/08/2023,Blues,Win 105-73,8,0,0
2023,Jack Buckley,3,01/04/2023,Blues,Loss 64-74,12,0,0
2021,Jack Buckley,14,19/06/2021,Blues,Win 102-66,11,0,0
2023,Sam Taylor,3,01/04/2023,Blues,Loss 64-74,13,0,0
2022,Sam Taylor,19,24/07/2022,Blues,Loss 54-90,9,0,0
2022,Sam Taylor,9,15/05/2022,Blues,Loss 75-105,16,0,0
2021,Sam Taylor,23,21/08/2021,Blues,Win 89-75,13,0,0
2023,Jake Riccardi,24,27/08/2023,Blues,Win 105-73,8,3,0
2023,Jake Riccardi,3,01/04/2023,Blues,Loss 64-74,9,2,1
2022,Jake Riccardi,19,24/07/2022,Blues,Loss 54-90,7,1,1
2022,Jake Riccardi,9,15/05/2022,Blues,Loss 75-105,7,2,1
2023,Callum M. Brown,24,27/08/2023,Blues,Win 105-73,7,1,1
2022,Callum M. Brown,19,24/07/2022,Blues,Loss 54-90,17,0,0
2023,James Peatling,3,01/04/2023,Blues,Loss 64-74,7,0,1
2022,James Peatling,19,24/07/2022,Blues,Loss 54-90,14,0,0
2023,Cooper Hamilton,3,01/04/2023,Blues,Loss 64-74,12,0,1
2022,Cooper Hamilton,9,15/05/2022,Blues,Loss 75-105,19,0,0
2023,Ryan Angwin,24,27/08/2023,Blues,Win 105-73,14,0,0
2023,Lachlan Keeffe,24,27/08/2023,Blues,Win 105-73,11,1,0
2022,Lachlan Keeffe,19,24/07/2022,Blues,Loss 54-90,7,0,0
2022,Lachlan Keeffe,9,15/05/2022,Blues,Loss 75-105,8,0,0
2023,Harry Rowston,3,01/04/2023,Blues,Loss 64-74,14,0,0
2022,Jacob Wehr,19,24/07/2022,Blues,Loss 54-90,8,1,0
2022,Adam Kennedy,19,24/07/2022,Blues,Loss 54-90,14,0,0
2022,Adam Kennedy,9,15/05/2022,Blues,Loss 75-105,20,1,0
2021,Adam Kennedy,23,21/08/2021,Blues,Win 89-75,11,0,0
2021,Adam Kennedy,14,19/06/2021,Blues,Win 102-66,10,0,0
2023,Toby McMullin,24,27/08/2023,Blues,Win 105-73 ,3,0,0
2023,Conor Stone,3,01/04/2023,Blues,Loss 64-74,4,0,0
2022,Conor Stone,9,15/05/2022,Blues,Loss 75-105,7,0,2
2022,Braydon Preuss,19,24/07/2022,Blues,Loss 54-90,19,0,1
2022,Braydon Preuss,9,15/05/2022,Blues,Loss 75-105,15,0,0
