Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,13,12,4,7.08,1.31,0.54,0.38,0,0,0,85,38
Brent Daniels,14,27,13,18.0,1.0,0.79,0.71,93,21,7,64,21
Callan Ward,10,24,8,18.0,0.4,0.0,1.0,70,40,0,20,20
Callum M. Brown,12,15,2,8.08,1.42,0.42,0.33,8,0,0,50,50
Connor Idun,15,28,12,18.53,0.0,0.07,0.27,80,40,7,0,0
Conor Stone,2,5,3,4.0,0.5,0.0,1.0,0,0,0,50,0
Darcy Jones,4,15,3,9.5,1.0,0.5,0.0,25,0,0,75,25
Finn Callaghan,14,32,13,22.29,0.07,0.29,0.93,93,71,29,7,0
Harry Himmelberg,15,30,11,21.07,0.0,0.13,0.8,93,73,20,0,0
Harry Perryman,11,23,15,18.55,0.18,0.0,0.73,100,36,0,9,9
Harvey Thomas,15,21,4,11.87,0.4,0.27,0.27,33,7,0,33,7
Isaac Cumming,1,14,14,14.0,1.0,0.0,0.0,0,0,0,100,0
Jack Buckley,13,17,8,13.85,0.08,0.0,1.0,46,0,0,8,0
Jacob Wehr,11,20,10,13.91,0.0,0.18,0.82,36,9,0,0,0
Jake Riccardi,15,19,4,10.73,1.53,0.6,0.47,13,0,0,73,47
James Peatling,9,24,3,13.44,0.44,0.11,1.33,44,22,0,44,0
Jesse Hogan,15,18,6,11.67,2.4,1.07,1.27,20,0,0,100,73
Josh Kelly,12,32,21,24.92,1.25,0.42,0.5,100,100,42,83,33
Kieren Briggs,15,23,8,15.53,0.0,0.67,1.2,60,20,0,0,0
Lachie Whitfield,15,41,18,29.33,0.0,0.07,0.87,100,87,87,0,0
Lachie Ash,11,26,6,20.27,0.0,0.09,0.45,91,64,27,0,0
Leek Aleer,7,16,5,10.86,0.0,0.0,1.29,29,0,0,0,0
Max Gruzewski,2,4,2,3.0,1.0,0.0,0.5,0,0,0,50,50
Nick Haynes,7,25,6,17.57,0.0,0.14,0.43,71,43,14,0,0
Ryan Angwin,4,19,4,12.5,0.25,0.5,1.0,50,0,0,25,0
Sam Taylor,11,17,2,12.18,0.0,0.0,0.91,36,0,0,0,0
Stephen Coniglio,9,31,12,23.67,0.33,0.33,1.11,89,78,44,22,11
Toby Bedford,15,19,3,11.0,0.47,0.33,0.87,20,0,0,33,13
Toby Greene,14,24,11,17.0,1.57,1.36,0.64,86,14,0,79,43
Toby McMullin,6,16,2,8.0,0.0,0.17,0.17,17,0,0,0,0
Tom Green,15,38,3,29.2,0.27,0.2,0.47,93,93,80,27,0
Xavier O'Halloran,12,16,6,12.42,0.58,0.33,0.42,33,0,0,33,8
