Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,9,7,2,4.33,0.56,0.33,0.11,0,0,0,56,0
Adam Kennedy,5,12,3,7.2,0.0,0.0,0.8,0,0,0,0,0
Brent Daniels,11,24,7,15.91,1.55,0.45,1.18,64,27,0,82,45
Callan Ward,14,32,5,18.71,0.64,0.64,0.86,71,36,21,50,14
Cameron Fleeton,2,11,6,8.5,0.0,0.0,0.5,0,0,0,0,0
Connor Idun,15,28,12,17.0,0.0,0.0,0.4,73,20,7,0,0
Conor Stone,3,5,2,3.67,0.0,0.0,0.33,0,0,0,0,0
Cooper Hamilton,4,19,10,14.25,0.25,0.25,1.0,50,0,0,25,0
Daniel Lloyd,12,21,10,13.83,0.33,0.83,0.42,33,8,0,33,0
Finn Callaghan,15,27,13,21.6,0.13,0.2,0.2,93,67,27,13,0
Harry Himmelberg,14,28,5,14.86,0.71,0.5,0.71,57,21,7,50,14
Harry Perryman,11,24,1,17.45,0.27,0.18,0.55,91,27,0,9,9
Harry Rowston,7,14,2,7.0,0.14,0.29,0.29,0,0,0,14,0
Isaac Cumming,9,25,14,19.67,0.11,0.0,0.44,89,56,11,11,0
Jack Buckley,15,21,8,13.6,0.0,0.0,0.73,33,13,0,0,0
Jacob Wehr,2,12,3,7.5,0.0,0.0,0.5,0,0,0,0,0
Jake Riccardi,10,15,6,9.9,1.3,0.8,0.2,10,0,0,50,40
James Peatling,10,20,7,10.8,0.0,0.6,0.8,20,10,0,0,0
Jesse Hogan,14,19,7,12.93,1.71,1.29,0.86,43,0,0,79,71
Josh Fahey,3,13,1,6.0,0.33,0.33,0.0,0,0,0,33,0
Josh Kelly,11,41,21,28.82,0.91,0.27,0.91,100,100,82,55,27
Kieren Briggs,6,17,8,13.5,0.67,0.5,1.0,50,0,0,50,17
Lachie Whitfield,13,33,17,26.08,0.08,0.08,0.31,100,92,46,8,0
Lachie Ash,15,33,18,24.07,0.07,0.0,0.33,100,87,40,7,0
Lachlan Keeffe,5,12,2,6.8,0.0,0.2,0.2,0,0,0,0,0
Matt Flynn,9,17,7,11.78,0.11,0.22,1.44,33,0,0,11,0
Nick Haynes,13,29,2,18.85,0.08,0.0,0.31,85,46,23,8,0
Ryan Angwin,10,20,1,9.4,0.0,0.0,0.1,10,10,0,0,0
Sam Taylor,8,20,7,12.38,0.0,0.0,1.12,25,12,0,0,0
Stephen Coniglio,15,38,23,28.8,0.33,0.73,0.67,100,100,93,27,7
Toby Bedford,9,19,9,12.0,0.67,0.33,0.78,22,0,0,56,11
Toby Greene,13,24,5,18.23,2.92,1.38,1.31,85,38,0,100,92
Tom Green,14,38,26,32.14,0.29,0.07,0.79,100,100,100,14,7
