Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Blake Hardwick,15,38,12,24.0,0.0,0.0,0.33,67,67,33,0,0
Cam Mackenzie,12,16,12,13.33,0.0,0.33,0.33,33,0,0,0,0
Chad Wingard,8,18,8,12.67,0.33,0.0,0.33,33,0,0,33,0
Changkuoth Jiath,8,21,15,17.33,0.0,0.0,1.33,100,33,0,0,0
Connor Macdonald,13,28,13,18.67,1.0,0.67,0.67,67,33,33,67,33
Conor Nash,15,25,18,22.33,0.0,0.0,1.0,100,67,33,0,0
Denver Grainger Barras,2,9,3,6.0,0.0,0.0,0.5,0,0,0,0,0
Dylan Moore,15,25,15,19.0,1.0,1.0,1.67,100,33,33,67,33
Fergus Greene,9,11,4,7.0,0.67,0.67,0.33,0,0,0,33,33
Finn Maginness,5,11,5,8.67,0.0,0.33,0.0,0,0,0,0,0
Harry Morrison,8,24,16,21.33,0.0,0.0,0.0,100,67,0,0,0
Jack Scrimshaw,9,31,18,22.67,0.0,0.0,0.33,100,33,33,0,0
Jacob Koschitzke,8,8,6,6.67,1.0,0.67,1.33,0,0,0,33,33
Jai Newcombe,15,28,20,23.0,0.0,0.0,2.67,100,100,33,0,0
James Blanck,9,9,3,5.33,0.0,0.0,0.33,0,0,0,0,0
James Sicily,12,43,30,35.0,0.0,0.33,2.0,100,100,100,0,0
James Worpel,15,30,26,28.0,0.0,0.0,1.0,100,100,100,0,0
Jarman Impey,14,33,28,30.0,0.33,0.0,0.33,100,100,100,33,0
Josh Ward,8,28,15,21.0,0.0,0.0,0.0,100,67,33,0,0
Josh Weddle,9,23,10,17.0,0.0,0.0,1.0,67,33,0,0,0
Karl Amon,15,20,18,19.0,0.0,0.0,0.33,100,33,0,0,0
Lachlan Bramble,10,20,14,16.67,0.0,1.0,0.0,67,33,0,0,0
Lloyd Meek,13,14,2,7.67,0.33,0.0,1.0,0,0,0,33,0
Luke Breust,14,11,8,9.67,1.67,0.0,0.33,0,0,0,100,67
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Mitch Lewis,9,15,9,11.67,2.67,0.33,0.33,33,0,0,100,100
Ned Long,2,10,9,9.5,0.5,0.5,0.0,0,0,0,50,0
Ned Reeves,14,7,5,6.33,0.0,0.0,0.67,0,0,0,0,0
Sam Frost,14,9,8,8.67,0.0,0.33,0.67,0,0,0,0,0
Seamus Mitchell,10,24,17,20.67,0.0,0.0,0.33,100,67,0,0,0
Tyler Brockman,11,17,9,13.67,0.33,0.33,0.0,67,0,0,33,0
Will Day,13,29,26,27.33,0.0,0.33,1.0,100,100,100,0,0
