Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Blake Hardwick,15,38,10,20.4,0.13,0.07,0.4,80,53,20,7,7
Cam Mackenzie,12,22,5,14.67,0.25,0.42,0.25,50,17,0,17,8
Chad Wingard,8,18,3,11.88,0.25,0.62,0.88,38,0,0,25,0
Changkuoth Jiath,8,21,11,17.0,0.12,0.0,0.75,88,25,0,12,0
Connor Macdonald,13,28,5,15.54,0.62,0.69,0.69,62,23,8,54,8
Conor Nash,15,31,10,23.2,0.07,0.27,0.73,87,73,53,7,0
Denver Grainger Barras,2,9,3,6.0,0.0,0.0,0.5,0,0,0,0,0
Dylan Moore,15,31,15,20.87,0.6,0.93,1.13,100,53,20,47,13
Fergus Greene,9,11,4,8.22,1.44,0.89,0.44,0,0,0,67,56
Finn Maginness,5,12,5,9.6,0.0,0.2,0.2,0,0,0,0,0
Harry Morrison,8,24,16,19.88,0.0,0.25,0.38,100,38,0,0,0
Jack Scrimshaw,9,31,7,17.0,0.33,0.0,0.44,67,22,22,33,0
Jacob Koschitzke,8,11,4,7.5,0.75,1.0,1.12,0,0,0,38,25
Jai Newcombe,15,31,15,23.4,0.53,0.4,1.93,100,80,40,47,7
James Blanck,9,11,1,6.11,0.0,0.0,0.33,0,0,0,0,0
James Sicily,12,43,14,26.92,0.17,0.25,0.83,92,92,75,17,0
James Worpel,15,35,15,25.73,0.33,0.2,1.13,100,87,67,33,0
Jarman Impey,14,33,14,21.57,0.14,0.14,0.71,86,57,29,14,0
Josh Ward,8,28,15,22.25,0.0,0.38,0.62,100,75,38,0,0
Josh Weddle,9,28,8,17.56,0.33,0.0,0.56,67,33,22,22,11
Karl Amon,15,25,18,21.13,0.4,0.13,0.33,100,67,13,33,7
Lachlan Bramble,10,24,7,16.7,0.1,0.3,0.3,60,40,0,10,0
Lloyd Meek,13,18,2,9.85,0.23,0.15,0.92,8,0,0,23,0
Luke Breust,14,16,7,10.79,2.0,1.07,0.86,14,0,0,86,57
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Mitch Lewis,9,24,6,13.56,2.67,1.33,0.44,44,22,0,100,78
Ned Long,2,10,9,9.5,0.5,0.5,0.0,0,0,0,50,0
Ned Reeves,14,15,3,7.29,0.07,0.07,0.79,7,0,0,7,0
Sam Frost,14,20,6,13.5,0.0,0.07,0.36,43,7,0,0,0
Seamus Mitchell,10,27,11,18.5,0.0,0.1,0.6,80,40,10,0,0
Tyler Brockman,11,17,5,11.45,0.91,0.36,0.18,36,0,0,55,27
Will Day,13,30,20,26.15,0.15,0.15,1.0,100,100,69,15,0
