Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,15,23,6,14.0,0.8,0.3,0.8,40,20,0,40,10
Calsher Dear,8,9,1,6.0,1.12,0.5,0.88,0,0,0,75,38
Cam Mackenzie,15,21,8,14.9,0.6,0.4,0.4,60,10,0,40,20
Chad Wingard,14,26,0,15.8,0.8,0.4,0.6,70,20,20,40,30
Changkuoth Jiath,6,18,7,10.67,0.33,0.5,1.0,17,0,0,33,0
Connor Macdonald,15,24,14,16.8,1.2,1.0,0.4,70,20,0,80,30
Conor Nash,15,32,14,19.2,0.1,0.1,1.2,90,30,20,10,0
Denver Grainger-Barras,7,9,0,5.57,0.57,0.14,0.71,0,0,0,57,0
Dylan Moore,15,29,14,20.8,1.7,0.6,1.8,90,50,30,80,40
Finn Maginness,8,20,4,14.12,0.5,0.5,0.12,50,12,0,25,12
Harry Morrison,5,26,7,14.8,0.2,0.0,0.4,40,20,20,20,0
Henry Hustwaite,4,12,2,6.5,0.0,0.0,0.75,0,0,0,0,0
Jack Ginnivan,15,23,11,17.1,1.1,1.3,1.3,70,40,0,80,30
Jack Gunston,11,16,1,9.1,1.4,1.3,0.6,20,0,0,60,40
Jack Scrimshaw,14,21,11,16.3,0.0,0.0,0.7,80,20,0,0,0
Jai Newcombe,15,33,18,25.7,0.3,0.2,1.5,100,90,50,30,0
Jai Serong,4,14,2,8.5,0.0,0.0,0.5,0,0,0,0,0
James Blanck,15,11,3,6.1,0.0,0.0,0.7,0,0,0,0,0
James Sicily,13,33,19,22.7,0.1,0.2,1.9,100,80,20,10,0
James Worpel,15,28,13,19.4,0.0,0.2,0.5,80,40,20,0,0
Jarman Impey,15,27,12,19.6,0.0,0.2,1.2,80,60,20,0,0
Josh Ward,6,19,7,14.17,0.17,0.17,0.17,67,0,0,17,0
Josh Weddle,15,23,8,14.0,0.3,0.3,0.5,30,10,0,30,0
Karl Amon,15,31,14,22.1,0.2,0.0,0.3,90,70,30,10,10
Lloyd Meek,11,18,10,14.0,0.6,0.0,1.6,50,0,0,50,10
Luke Breust,9,12,5,7.0,0.78,0.56,0.33,0,0,0,67,11
Mabior Chol,13,12,7,9.2,1.7,0.9,1.1,0,0,0,80,60
Massimo D'Ambrosio,14,28,9,20.2,0.0,0.3,0.6,90,60,20,0,0
Max Ramsden,3,9,2,5.67,0.33,0.0,1.0,0,0,0,33,0
Mitch Lewis,3,10,7,8.33,1.0,0.67,0.0,0,0,0,100,0
Ned Reeves,4,10,5,8.25,0.25,0.0,0.75,0,0,0,25,0
Nick Watson,8,16,3,10.5,0.75,2.12,0.62,12,0,0,62,12
Sam Butler,2,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0
Sam Frost,15,14,7,9.5,0.0,0.0,0.3,0,0,0,0,0
Seamus Mitchell,9,13,4,8.22,0.0,0.0,0.22,0,0,0,0,0
Will Day,9,27,11,21.44,0.22,0.44,1.33,78,78,44,22,0
