Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,5,25,8,15.2,0.0,0.0,1.0,40,20,20,0,0
Alex Neal-Bullen,15,27,15,18.5,0.3,0.2,1.2,100,30,10,30,0
Andy Moniz-Wakefield,1,16,16,16.0,0.0,0.0,2.0,100,0,0,0,0
Bailey Laurie,4,14,1,7.0,0.5,0.0,0.25,0,0,0,25,25
Bayley Fritsch,15,17,5,9.6,1.5,1.2,0.8,10,0,0,80,50
Ben Brown,6,9,3,6.17,1.17,0.67,0.5,0,0,0,67,33
Blake Howes,12,17,7,12.0,0.0,0.1,0.9,30,0,0,0,0
Caleb Windsor,15,21,8,13.8,0.4,0.4,0.6,40,10,0,40,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,13,29,13,22.0,1.1,0.8,0.7,90,90,20,60,20
Christian Salem,11,32,2,18.8,0.1,0.1,0.3,70,60,30,10,0
Clayton Oliver,15,31,14,23.7,0.2,0.1,1.0,90,70,50,20,0
Daniel Turner,7,13,5,8.29,1.0,0.43,0.43,0,0,0,57,29
Ed Langdon,14,24,12,18.5,0.1,0.9,0.5,80,40,0,10,0
Harrison Petty,13,15,2,7.4,0.3,0.9,0.4,10,0,0,30,0
Jack Billings,11,23,8,15.6,0.2,0.6,0.9,60,30,0,20,0
Jack Viney,15,26,14,20.8,0.3,0.0,1.2,90,50,20,20,10
Jacob van Rooyen,13,14,4,9.9,1.4,0.6,0.8,0,0,0,80,40
Jake Bowey,7,22,13,16.0,0.0,0.14,0.43,57,14,0,0,0
Jake Lever,11,26,1,13.9,0.1,0.0,1.0,50,20,10,10,0
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,15,21,10,15.1,0.0,0.1,0.5,40,10,0,0,0
Kade Chandler,15,18,6,11.5,0.6,0.3,0.6,20,0,0,60,0
Koltyn Tholstrup,3,16,7,11.0,0.0,0.67,0.67,33,0,0,0,0
Kynan Brown,2,2,1,1.5,0.0,0.0,0.5,0,0,0,0,0
Kysaiah Pickett,13,20,9,14.4,1.7,1.6,0.7,40,10,0,90,50
Lachie Hunter,2,20,7,13.5,0.5,0.0,0.0,50,50,0,50,0
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,15,27,9,20.1,0.7,0.4,2.0,90,60,20,70,0
Shane McAdam,3,11,4,8.67,0.33,0.67,0.33,0,0,0,33,0
Steven May,14,25,8,18.4,0.1,0.0,0.5,80,30,20,10,0
Taj Woewodin,11,13,1,8.2,0.0,0.2,0.3,0,0,0,0,0
Tom McDonald,14,18,11,14.1,0.3,0.0,0.6,40,0,0,20,10
Tom Sparrow,15,22,12,15.5,0.1,0.3,0.8,70,10,0,10,0
Trent Rivers,15,24,14,20.3,0.1,0.1,0.5,90,60,0,10,0
