Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,12,31,6,17.0,0.08,0.0,0.58,75,33,8,8,0
Andrew Gaff,3,21,4,14.67,0.33,0.0,0.33,67,33,0,33,0
Bailey J. Williams,15,17,5,10.67,0.27,0.33,1.27,13,0,0,27,0
Brady Hough,15,25,8,14.33,0.0,0.07,0.47,53,7,7,0,0
Callum Jamieson,4,12,11,11.25,0.0,0.0,1.25,0,0,0,0,0
Campbell Chesser,15,16,6,10.93,0.33,0.2,0.4,13,0,0,33,0
Dom Sheed,8,20,2,12.12,0.0,0.12,1.0,50,12,0,0,0
Elijah Hewett,14,21,3,13.43,0.29,0.5,0.43,43,14,0,21,7
Elliot Yeo,13,29,13,22.08,0.62,0.69,1.54,85,69,46,54,8
Harley Reid,12,27,12,18.0,0.67,0.33,2.5,75,33,8,42,17
Harry Barnett,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Harry Edwards,3,9,6,7.33,0.0,0.0,0.33,0,0,0,0,0
Harvey Johnston,2,8,4,6.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,15,14,4,9.53,1.13,0.6,1.0,0,0,0,67,40
Jack Petruccelle,12,16,2,10.92,0.75,0.75,0.92,8,0,0,42,25
Jack Williams,10,15,2,7.3,0.9,0.2,0.7,10,0,0,70,10
Jai Culley,1,14,14,14.0,0.0,1.0,0.0,0,0,0,0,0
Jake Waterman,13,18,5,13.0,2.85,1.15,0.69,38,0,0,100,69
Jamaine Jones,8,16,9,12.25,0.12,0.12,1.0,12,0,0,12,0
Jamie Cripps,15,22,8,14.8,1.2,1.33,0.47,40,20,0,80,33
Jayden Hunt,12,22,7,14.08,0.25,0.17,0.42,42,25,0,25,0
Jeremy McGovern,15,26,15,20.8,0.07,0.13,0.93,100,67,20,7,0
Josh Rotham,10,11,4,8.9,0.0,0.0,0.5,0,0,0,0,0
Liam Duggan,15,30,17,23.87,0.07,0.0,0.73,100,80,53,7,0
Liam Ryan,9,19,5,11.44,0.78,0.67,0.56,11,0,0,44,22
Loch Rawlinson,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Luke Edwards,9,17,2,9.67,0.11,0.11,0.22,22,0,0,11,0
Matt Flynn,4,12,6,8.25,0.25,0.25,0.75,0,0,0,25,0
Noah Long,7,13,8,10.0,0.29,0.71,0.43,0,0,0,29,0
Oscar Allen,3,13,6,9.33,0.67,3.0,0.33,0,0,0,33,33
Reuben Ginbey,15,22,10,15.47,0.07,0.2,0.73,53,20,0,7,0
Rhett Bazzo,11,13,3,8.64,0.0,0.0,0.36,0,0,0,0,0
Ryan Maric,13,13,4,8.0,0.38,0.31,0.38,0,0,0,38,0
Tim Kelly,12,30,15,22.58,0.17,0.58,1.0,100,58,33,17,0
Tom Barrass,14,22,4,13.21,0.0,0.0,0.57,43,7,0,0,0
Tom Cole,15,21,8,14.87,0.0,0.13,1.4,53,27,0,0,0
Tyler Brockman,8,14,4,9.38,0.0,0.25,0.62,0,0,0,0,0
Tyrell Dewar,3,9,2,4.33,0.33,0.33,0.0,0,0,0,33,0
Zane Trew,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
