Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,15,15,8,12.2,0.0,0.0,0.4,20,0,0,0,0
Bailey Scott,15,23,8,17.2,0.2,0.4,0.6,80,40,0,20,0
Bigoa Nyuon,3,19,11,14.33,0.0,0.0,0.67,33,0,0,0,0
Blake Drury,5,17,6,11.0,0.6,0.0,0.4,20,0,0,40,20
Callum Coleman-Jones,3,9,3,6.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,14,19,12,15.0,2.2,1.0,1.2,60,0,0,100,60
Charlie Comben,12,21,10,15.0,0.0,0.2,1.4,60,20,0,0,0
Charlie Lazzaro,9,11,6,8.2,0.2,0.0,0.2,0,0,0,20,0
Colby McKercher,9,32,1,22.0,0.0,0.2,0.0,80,60,60,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,6,22,7,14.0,0.4,0.0,0.6,40,20,0,40,0
Darcy Tucker,15,30,12,22.6,0.0,0.0,0.4,80,80,40,0,0
Dylan Stephens,9,18,4,11.8,0.0,0.0,0.2,20,0,0,0,0
Eddie Ford,12,17,8,13.4,0.8,0.8,0.0,60,0,0,60,20
George Wardlaw,13,30,15,21.8,0.2,0.4,1.8,100,80,20,20,0
Griffin Logue,15,17,1,11.8,0.0,0.0,0.4,40,0,0,0,0
Harry Sheezel,15,30,18,25.4,1.4,0.0,0.4,100,80,80,100,40
Hugh Greenwood,3,12,5,9.33,0.33,0.33,0.33,0,0,0,33,0
Jackson Archer,7,13,6,9.6,0.0,0.0,1.4,0,0,0,0,0
Jaidyn Stephenson,10,16,5,12.6,0.8,0.0,0.4,40,0,0,60,20
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,10,28,14,20.8,0.8,0.0,1.8,80,60,40,60,20
Kallan Dawson,7,13,8,9.4,0.0,0.0,0.6,0,0,0,0,0
Liam Shiels,10,16,12,14.6,0.0,0.2,1.4,60,0,0,0,0
Luke Davies-Uniacke,15,35,17,28.0,0.4,0.4,2.0,100,80,80,40,0
Luke McDonald,14,17,9,11.8,0.0,0.0,0.0,20,0,0,0,0
Miller Bergman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Nick Larkey,15,15,5,9.0,1.8,0.4,1.0,20,0,0,40,40
Paul Curtis,15,17,11,13.0,1.2,0.0,0.8,20,0,0,80,40
Riley Hardeman,3,12,7,10.0,0.0,0.0,0.33,0,0,0,0,0
Tarryn Thomas,12,25,10,20.4,0.4,0.6,1.0,80,80,20,20,20
Toby Pink,10,9,5,7.0,0.2,0.4,0.8,0,0,0,20,0
Tom Powell,15,22,12,16.8,0.2,0.0,0.2,60,20,0,20,0
Tristan Xerri,15,22,15,18.6,0.6,0.2,2.4,100,40,0,40,20
Will Phillips,6,19,8,13.0,0.2,0.0,1.0,20,0,0,20,0
Zac Fisher,15,36,22,27.4,0.0,0.2,0.6,100,100,40,0,0
Zane Duursma,10,9,3,6.4,0.8,0.4,1.0,0,0,0,60,20
