Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,15,16,7,11.8,0.0,0.0,0.93,27,0,0,0,0
Brynn Teakle,4,14,7,10.25,0.25,0.5,1.25,0,0,0,25,0
Charlie Dixon,10,15,7,12.0,1.8,1.2,0.7,20,0,0,70,60
Connor Rozee,15,31,19,25.07,0.87,0.47,1.4,100,87,60,67,13
Dan Houston,15,33,16,22.73,0.4,0.2,0.87,100,73,33,33,7
Dante Visentini,1,4,4,4.0,0.0,0.0,1.0,0,0,0,0,0
Darcy Byrne Jones,14,27,5,13.43,0.71,0.86,0.43,36,7,7,50,21
Dylan Williams,12,24,9,16.92,0.0,0.08,0.5,75,25,0,0,0
Francis Evans,5,14,2,5.4,0.4,0.2,0.2,0,0,0,20,20
Jackson Mead,5,10,4,8.0,0.4,0.2,0.2,0,0,0,40,0
Jase Burgoyne,3,8,2,5.0,0.0,0.0,0.0,0,0,0,0,0
Jason Horne Francis,15,25,10,17.73,0.53,0.33,1.8,73,33,13,47,7
Jed McEntee,12,13,4,9.08,0.92,0.17,0.58,0,0,0,75,17
Jeremy Finlayson,13,20,8,13.77,2.23,1.46,0.85,46,8,0,85,62
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,13,25,9,16.15,0.15,0.15,0.54,62,23,8,15,0
Lachie Jones,6,19,5,11.17,0.67,0.0,0.67,17,0,0,33,17
Miles Bergman,15,23,6,13.93,0.0,0.47,0.67,47,20,0,0,0
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,15,29,13,22.67,0.27,0.27,1.07,93,80,40,27,0
Ollie Lord,6,10,5,8.5,0.83,0.83,0.83,0,0,0,67,17
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0
Riley Bonner,10,20,2,12.5,0.2,0.6,0.1,40,10,0,10,10
Ryan Burton,12,24,7,14.08,0.67,0.25,0.75,42,17,0,58,8
Sam Powell Pepper,15,21,7,14.27,1.13,1.27,0.8,40,13,0,73,33
Scott Lycett,10,18,2,11.5,0.0,0.0,2.1,10,0,0,0,0
Tom Jonas,8,12,2,7.12,0.12,0.0,0.62,0,0,0,12,0
Todd Marshall,12,16,0,9.17,1.75,0.92,0.58,17,0,0,75,50
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,12,30,8,16.5,0.33,0.33,0.75,50,33,17,33,0
Trent McKenzie,13,16,6,10.77,0.0,0.0,0.31,8,0,0,0,0
Willem Drew,15,25,10,16.73,0.27,0.33,0.87,67,27,7,27,0
Willie Rioli,11,16,6,10.27,1.27,1.09,0.55,9,0,0,55,45
Xavier Duursma,7,22,5,14.29,0.43,0.0,1.14,43,29,0,43,0
Zak Butters,15,41,15,27.07,0.67,0.33,1.53,100,87,73,60,7
