Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,12,20,3,13.6,2.1,0.7,0.9,40,30,0,90,60
Adam Treloar,15,41,22,31.5,0.7,0.5,1.5,100,100,90,60,10
Alex Keath,5,15,7,11.0,0.0,0.0,1.2,20,0,0,0,0
Anthony Scott,2,10,0,5.0,0.0,0.5,0.0,0,0,0,0,0
Arthur Jones,13,14,0,8.0,0.4,0.7,0.6,0,0,0,30,10
Bailey Dale,15,39,21,28.6,0.3,0.3,0.2,100,100,80,20,10
Bailey Smith,19,28,11,20.3,0.2,0.4,0.6,90,50,20,20,0
Bailey Williams,15,29,18,21.8,0.2,0.2,0.5,100,60,20,10,10
Buku Khamis,10,19,0,10.2,0.1,0.1,0.7,10,0,0,10,0
Caleb Daniel,10,20,2,12.6,0.1,0.3,0.5,40,10,0,10,0
Caleb Poulter,2,8,4,6.0,0.0,1.0,0.5,0,0,0,0,0
Charlie Clarke,1,6,6,6.0,0.0,1.0,0.0,0,0,0,0,0
Cody Weightman,9,14,1,9.67,2.22,0.44,1.22,0,0,0,78,67
Ed Richards,12,34,17,22.2,0.2,0.5,0.6,100,70,20,20,0
Harvey Gallagher,15,23,6,13.4,0.4,0.6,0.5,30,10,0,30,10
Jack Macrae,13,30,18,21.1,0.3,0.1,0.8,100,50,10,20,10
Jamarra Ugle-Hagan,13,13,4,9.9,2.1,1.6,0.8,0,0,0,100,80
James Harmes,8,27,1,16.25,0.88,0.25,0.62,62,38,12,38,25
James O'Donnell,10,21,6,11.5,0.2,0.1,0.2,20,10,0,10,10
Jason Johannisen,9,31,15,21.67,0.0,0.11,0.33,100,56,33,0,0
Joel Freijah,7,19,12,15.0,0.0,0.0,0.57,57,0,0,0,0
Lachlan Bramble,15,30,7,17.2,0.1,0.1,0.4,70,20,10,10,0
Lachlan McNeil,3,14,10,11.67,0.67,0.67,1.0,0,0,0,33,33
Laitham Vandermeer,15,14,2,7.9,0.6,0.3,0.2,0,0,0,50,10
Liam Jones,15,19,8,14.3,0.0,0.1,1.0,50,0,0,0,0
Luke Cleary,2,12,10,11.0,0.0,0.0,0.0,0,0,0,0,0
Marcus Bontempelli,15,38,18,27.5,1.5,0.8,0.9,100,80,70,60,60
Nick Coffield,2,10,1,5.5,0.0,0.0,0.5,0,0,0,0,0
Oskar Baker,6,19,7,14.17,0.5,0.17,0.17,67,0,0,17,17
Rhylee West,14,15,10,12.5,1.3,1.0,0.9,20,0,0,90,20
Riley Garcia,8,23,12,17.38,0.62,0.62,0.88,75,25,0,38,25
Rory Lobb,7,19,5,11.57,0.71,0.57,1.57,29,0,0,43,14
Ryan Gardner,10,16,4,8.9,0.1,0.0,0.5,10,0,0,10,0
Ryley Sanders,11,23,5,16.4,0.0,0.2,0.3,70,50,0,0,0
Sam Darcy,12,15,7,11.7,2.0,0.9,0.6,10,0,0,100,50
Taylor Duryea,13,22,5,12.4,0.0,0.2,0.7,20,10,0,0,0
Tom Liberatore,9,35,18,25.11,0.33,0.44,1.78,100,89,56,33,0
Tim English,15,23,13,16.3,0.7,0.5,2.0,60,10,0,50,20
