Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,9,12,4,7.0,0.67,0.33,0.0,0,0,0,33,33
Daniel Rioli,15,25,18,21.0,0.33,0.0,0.67,100,67,33,33,0
Dion Prestia,13,27,23,25.0,0.33,0.0,0.67,100,100,67,33,0
Dustin Martin,13,35,19,27.0,0.0,1.67,0.67,100,67,67,0,0
Dylan Grimes,15,9,8,8.33,0.0,0.0,0.67,0,0,0,0,0
Hugo Ralphsmith,12,8,1,4.0,0.0,0.0,0.0,0,0,0,0,0
Ivan Soldo,1,11,11,11.0,1.0,1.0,2.0,0,0,0,100,0
Jack Graham,12,21,11,17.33,0.0,0.33,0.0,67,67,0,0,0
Jack Riewoldt,14,8,6,7.33,0.67,1.33,0.67,0,0,0,33,33
Jack Ross,11,21,16,18.67,0.67,0.33,0.33,100,33,0,67,0
Jacob Hopper,9,32,10,21.33,1.0,0.67,1.33,67,67,33,67,33
Jayden Short,12,23,4,15.67,2.0,0.0,0.33,67,67,0,100,67
Judson Clarke,13,13,4,8.33,0.67,0.67,0.0,0,0,0,67,0
Kamdyn McIntosh,15,16,10,12.33,0.33,0.0,0.67,33,0,0,33,0
Liam Baker,15,20,15,18.33,0.33,1.0,0.0,100,67,0,33,0
Marlion Pickett,14,10,7,8.67,0.67,0.0,0.67,0,0,0,33,33
Maurice Rioli,6,7,3,5.33,0.0,0.67,0.33,0,0,0,0,0
Nathan Broad,11,21,17,19.0,0.0,0.0,0.67,100,33,0,0,0
Nick Vlastuin,13,26,20,23.0,0.33,0.0,1.0,100,100,33,33,0
Noah Balta,15,24,13,18.0,0.0,0.0,1.0,67,33,0,0,0
Noah Cumberland,8,7,2,3.67,0.33,0.33,0.67,0,0,0,33,0
Rhyan Mansell,12,13,6,10.33,0.67,0.33,0.67,0,0,0,67,0
Samson Ryan,14,6,4,5.0,0.0,0.33,1.0,0,0,0,0,0
Shai Bolton,15,33,18,23.0,1.33,0.33,0.67,100,33,33,67,33
Tom J. Lynch,4,11,6,8.0,2.0,1.0,0.67,0,0,0,100,67
Thomson Dow,1,6,6,6.0,0.0,1.0,1.0,0,0,0,0,0
Tim Taranto,15,38,21,31.33,1.0,0.67,0.0,100,100,67,67,33
Toby Nankervis,10,14,11,12.33,0.33,0.0,0.67,0,0,0,33,0
Trent Cotchin,14,29,14,23.67,0.67,0.33,0.33,67,67,67,33,33
Tylar Young,11,11,1,7.67,0.0,0.0,0.67,0,0,0,0,0
Tyler Sonsie,3,15,4,11.33,0.0,0.0,0.33,67,0,0,0,0
