Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,5,19,12,15.2,0.0,0.0,0.8,60,0,0,0,0
Alex Neal Bullen,15,19,8,14.5,0.5,0.5,1.2,50,0,0,50,0
Angus Brayshaw,15,29,15,23.7,0.0,0.2,0.9,100,90,40,0,0
Bailey Laurie,2,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Bayley Fritsch,14,18,1,10.5,1.8,1.6,0.9,20,0,0,80,70
Ben Brown,4,15,2,11.0,2.25,0.5,0.75,50,0,0,75,50
Brodie Grundy,15,19,6,13.1,0.9,0.3,1.0,40,0,0,70,20
Charlie Spargo,11,15,1,8.9,0.8,0.4,0.4,10,0,0,50,30
Christian Petracca,15,35,22,29.6,0.7,1.4,0.7,100,100,90,50,10
Christian Salem,6,24,18,21.17,0.0,0.0,0.5,100,67,0,0,0
Clayton Oliver,10,41,25,33.0,0.5,0.1,1.6,100,100,100,40,10
Daniel Turner,1,9,9,9.0,0.0,0.0,1.0,0,0,0,0,0
Ed Langdon,15,25,12,19.2,0.3,0.3,0.9,80,60,10,30,0
Harrison Petty,10,17,5,10.9,0.4,0.1,0.7,20,0,0,30,10
Jack Viney,14,40,16,25.5,0.5,0.3,1.6,100,80,50,50,0
Jacob van Rooyen,12,16,5,9.3,1.2,0.3,0.9,10,0,0,100,10
Jake Bowey,13,22,10,16.7,0.3,0.1,0.5,70,20,0,30,0
Jake Lever,14,20,7,12.9,0.0,0.0,0.4,40,10,0,0,0
Jake Melksham,5,10,2,5.4,1.0,0.4,0.0,0,0,0,80,20
James Harmes,7,19,3,10.29,0.14,0.43,0.57,29,0,0,14,0
James Jordon,11,22,3,10.5,0.3,0.1,0.8,30,10,0,30,0
Joel Smith,4,11,5,7.75,0.75,0.75,0.5,0,0,0,50,25
Josh Schache,1,9,9,9.0,1.0,0.0,1.0,0,0,0,100,0
Judd McVee,15,17,6,12.6,0.0,0.0,0.3,30,0,0,0,0
Kade Chandler,15,21,6,12.4,0.8,0.9,0.5,10,10,0,40,20
Kysaiah Pickett,13,19,6,10.4,1.4,1.0,0.6,20,0,0,90,40
Lachie Hunter,14,30,17,22.9,0.1,0.2,0.9,100,90,20,10,0
Max Gawn,12,20,12,15.7,0.5,0.7,0.9,80,10,0,40,10
Michael Hibberd,9,23,5,12.78,0.0,0.0,0.56,44,11,0,0,0
Steven May,13,23,8,16.9,0.0,0.0,0.8,70,30,0,0,0
Tom McDonald,6,16,6,9.83,1.33,0.5,0.67,17,0,0,67,33
Tom Sparrow,14,26,13,18.1,0.4,0.3,0.7,80,30,10,40,0
Trent Rivers,15,25,12,19.6,0.2,0.2,1.1,80,50,10,20,0
