Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,12,13,5,8.25,1.25,0.58,0.83,0,0,0,83,42
Ben Paton,12,21,6,13.5,0.0,0.0,0.75,42,8,0,0,0
Brad Crouch,15,34,18,27.47,0.2,0.2,1.0,100,87,73,13,7
Bradley Hill,15,31,13,21.0,0.27,0.2,0.67,93,60,20,20,7
Callum Wilkie,15,28,8,19.67,0.0,0.07,0.93,93,53,7,0,0
Cooper Sharman,7,18,3,7.71,0.43,0.29,0.29,14,0,0,43,0
Dan Butler,15,16,6,10.93,1.6,0.73,0.87,7,0,0,80,53
Dougal Howard,15,18,8,13.27,0.0,0.07,0.4,33,0,0,0,0
Hunter Clark,11,27,1,20.64,0.27,0.18,1.0,91,73,36,27,0
Jack Bytel,5,15,3,7.0,0.2,0.2,0.4,20,0,0,20,0
Jack Higgins,15,22,8,13.13,1.8,0.87,1.07,27,7,0,87,47
Jack Sinclair,15,37,18,28.87,0.33,0.13,0.6,100,93,80,27,7
Jack Steele,12,29,14,22.67,0.17,0.17,1.25,92,83,33,17,0
Jade Gresham,14,23,7,16.57,0.93,0.71,0.79,79,29,0,64,29
Jimmy Webster,8,19,13,15.25,0.0,0.0,0.75,62,0,0,0,0
Josh Battle,15,24,1,13.87,0.07,0.0,0.6,53,7,0,7,0
Marcus Windhager,10,20,4,12.0,0.2,0.3,0.7,30,20,0,20,0
Mason Wood,15,27,16,20.93,0.73,0.4,1.27,100,60,7,60,13
Mattaes Phillipou,15,19,7,13.67,0.53,0.33,0.6,33,0,0,40,7
Mitch Owens,14,27,7,14.93,1.36,0.93,1.93,50,14,7,64,50
Nasiah Wanganeen Milera,15,30,15,22.13,0.13,0.13,0.33,100,67,27,13,0
Rowan Marshall,15,26,10,19.2,0.07,0.4,1.87,87,47,20,7,0
Ryan Byrnes,15,27,7,17.2,0.33,0.27,0.6,67,40,7,33,0
Sebastian Ross,13,30,12,20.69,0.08,0.0,0.62,77,54,31,8,0
Tim Membrey,4,12,9,11.0,0.75,1.25,0.25,0,0,0,75,0
Zaine Cordy,7,13,1,6.14,0.86,0.0,0.43,0,0,0,71,14
