Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,3,16,9,12.33,0.0,0.0,0.33,33,0,0,0,0
Braeden Campbell,13,17,1,9.85,0.08,0.23,0.38,23,0,0,8,0
Brodie Grundy,15,31,8,19.93,0.07,0.2,2.07,87,53,13,7,0
Caiden Cleary,2,4,1,2.5,0.5,0.0,0.5,0,0,0,50,0
Caleb Mitchell,2,10,0,5.0,0.0,0.0,0.0,0,0,0,0,0
Chad Warner,15,28,19,23.93,1.6,0.73,0.93,100,93,47,87,47
Corey Warner,2,11,5,8.0,0.0,2.0,0.5,0,0,0,0,0
Dane Rampe,12,24,3,12.17,0.0,0.0,0.25,17,8,0,0,0
Errol Gulden,15,41,20,28.0,0.67,0.73,0.73,100,100,80,53,13
Harry Cunningham,14,18,0,11.21,0.07,0.0,0.29,36,0,0,7,0
Hayden McLean,15,18,5,10.73,1.13,0.73,0.93,13,0,0,73,40
Isaac Heeney,15,32,20,25.87,1.4,0.73,1.87,100,100,67,80,47
Jake Lloyd,15,32,13,19.53,0.2,0.07,0.87,80,47,20,20,0
James Jordon,15,20,10,15.8,0.47,0.6,0.47,67,7,0,47,0
James Rowbottom,15,32,9,19.13,0.27,0.33,1.6,87,40,7,20,7
Joel Amartey,15,10,3,6.8,2.13,1.0,1.0,0,0,0,87,60
Justin McInerney,15,26,16,20.47,0.33,0.4,1.2,100,67,7,33,0
Lewis Melican,15,14,3,8.13,0.0,0.0,0.4,0,0,0,0,0
Logan McDonald,15,15,5,10.6,1.47,1.0,0.4,13,0,0,87,33
Matt Roberts,12,27,3,15.33,0.08,0.08,0.25,58,25,8,8,0
Nick Blakey,15,32,10,21.33,0.2,0.13,0.67,93,60,33,20,0
Oliver Florent,15,28,12,19.93,0.2,0.2,0.6,93,47,20,20,0
Robbie Fox,9,16,3,10.0,0.33,0.22,0.89,11,0,0,33,0
Sam Wicks,13,17,2,9.77,0.77,0.31,0.38,15,0,0,54,23
Taylor Adams,11,23,11,18.18,0.55,0.36,1.0,82,36,0,45,9
Tom McCartin,12,15,5,10.5,0.0,0.0,0.58,8,0,0,0,0
Tom Papley,15,24,10,15.73,1.67,1.6,0.67,60,13,0,93,40
Will Hayward,15,18,8,12.4,1.87,0.53,0.87,27,0,0,80,67
