Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,12,15,3,8.08,1.25,0.75,0.67,8,0,0,92,25
Beau McCreery,15,20,2,10.13,0.73,0.27,0.27,13,7,0,47,27
Billy Frampton,10,15,8,10.9,0.5,0.2,0.3,20,0,0,40,10
Brayden Maynard,15,27,9,18.0,0.0,0.13,0.6,73,40,20,0,0
Brody Mihocek,15,17,6,10.0,2.13,1.0,0.4,13,0,0,80,67
Daniel McStay,5,16,1,8.6,0.6,0.6,0.8,20,0,0,60,0
Darcy Cameron,9,23,9,14.78,0.11,0.56,2.22,44,11,0,11,0
Darcy Moore,15,25,7,16.47,0.0,0.07,1.0,67,27,7,0,0
Harvey Harrison,4,12,2,7.75,0.75,0.25,0.25,0,0,0,75,0
Isaac Quaynor,15,24,8,15.93,0.0,0.07,0.73,67,20,0,0,0
Jack Crisp,15,28,14,19.93,0.33,0.33,0.67,93,53,20,33,0
Jack Ginnivan,8,15,1,9.12,1.0,0.62,0.25,12,0,0,62,38
Jamie Elliott,13,17,9,12.08,1.31,1.0,0.69,15,0,0,62,38
Jeremy Howe,3,20,8,12.0,0.0,0.0,0.0,33,33,0,0,0
John Noble,15,30,14,21.33,0.13,0.07,1.67,93,60,20,13,0
Jordan De Goey,11,35,12,24.91,0.91,0.73,1.0,91,73,55,64,18
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Josh Daicos,15,33,17,25.8,0.67,0.33,0.8,100,87,67,47,13
Mason Cox,10,19,4,9.4,1.4,0.7,2.2,10,0,0,90,50
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Nathan Murphy,14,14,6,10.21,0.0,0.0,1.5,0,0,0,0,0
Nick Daicos,15,42,25,33.47,0.87,0.47,1.07,100,100,100,53,27
Patrick Lipinski,3,23,15,19.33,1.0,0.33,1.33,100,67,0,67,33
Reef McInnes,5,7,1,3.6,0.6,0.2,0.2,0,0,0,40,20
Scott Pendlebury,14,31,14,23.43,0.21,0.14,0.93,93,93,36,21,0
Steele Sidebottom,11,30,4,20.91,0.18,0.18,0.27,82,73,18,18,0
Taylor Adams,14,27,12,18.57,0.57,0.43,1.36,86,50,7,50,7
Tom Mitchell,15,36,20,27.2,0.4,0.07,1.8,100,100,73,33,7
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Will Hoskin Elliott,15,19,4,12.8,0.67,0.27,0.47,40,0,0,53,13
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
