Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,15,15,6,11.27,1.87,1.27,1.33,7,0,0,100,53
Adam Treloar,11,35,22,29.36,0.55,0.27,1.18,100,100,73,45,9
Alex Keath,11,21,2,11.82,0.0,0.0,0.55,36,9,0,0,0
Anthony Scott,15,16,8,11.2,0.6,0.27,0.73,7,0,0,40,13
Arthur Jones,11,14,0,8.36,0.36,0.64,0.73,0,0,0,27,9
Bailey Dale,15,36,15,25.07,0.07,0.07,0.47,100,73,67,7,0
Bailey Smith,13,37,16,25.46,0.23,0.46,0.31,100,77,46,23,0
Bailey Williams,15,24,11,18.0,0.67,0.53,0.4,80,40,0,47,13
Caleb Daniel,15,35,19,24.47,0.53,0.27,0.73,100,87,40,53,0
Cody Weightman,11,14,3,10.55,1.91,1.09,1.36,0,0,0,82,45
Ed Richards,12,27,14,20.0,0.08,0.17,0.58,92,42,25,8,0
Hayden Crozier,3,22,5,12.33,0.0,0.33,1.33,33,33,0,0,0
Jack Macrae,15,33,21,26.67,0.47,0.07,1.07,100,100,67,40,7
Jamarra Ugle Hagan,15,16,7,11.2,1.33,1.6,1.07,13,0,0,60,33
Jason Johannisen,9,28,6,19.11,0.44,0.11,0.33,78,56,22,44,0
Josh Bruce,6,17,8,12.33,0.0,0.0,0.67,17,0,0,0,0
Lachlan McNeil,9,13,0,6.0,0.22,0.33,0.22,0,0,0,22,0
Laitham Vandermeer,3,15,10,11.67,0.0,0.33,0.0,33,0,0,0,0
Liam Jones,14,15,0,8.29,0.0,0.0,0.29,7,0,0,0,0
Marcus Bontempelli,15,32,19,26.8,0.73,0.6,1.27,100,93,73,53,13
Mitch Hannan,6,14,3,7.17,0.5,0.67,0.67,0,0,0,50,0
Oskar Baker,14,22,4,15.36,0.21,0.36,0.21,64,29,0,21,0
Rhylee West,4,13,4,7.75,0.25,0.0,0.75,0,0,0,25,0
Riley Garcia,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0
Robbie McComb,3,8,2,4.33,0.33,0.0,0.33,0,0,0,33,0
Rory Lobb,14,14,4,9.21,1.0,0.71,1.14,0,0,0,71,29
Ryan Gardner,6,16,4,9.67,0.17,0.0,0.83,17,0,0,17,0
Sam Darcy,2,6,2,4.0,0.0,0.5,0.0,0,0,0,0,0
Taylor Duryea,13,19,7,12.31,0.0,0.08,0.85,15,0,0,0,0
Tom Liberatore,14,33,17,26.79,0.43,0.57,0.93,100,93,71,36,7
Tim English,15,27,10,19.33,0.6,0.27,1.8,87,60,7,53,7
